decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D1,Root package and workspaces,CONFIRMED,"private root; apps/* and packages/*; workspaces object with catalog","workspace array without catalog",recommended,current Bun feature set,no,"none","implementation scaffold"
D2,Bun version pin,CONFIRMED,"pin bun@1.4.0 exactly in packageManager and CI","floating latest",recommended,stable release,no,"recheck before scaffold","implementation scaffold"
D3,Linker,INFERRED,"use isolated linker by default","hoisted linker",recommended,current Bun feature set,yes,"run full install/tool compatibility probes","R2.90 / scaffold"
D4,Effect cohort,CONFIRMED,"one exact 4.0.0-rc.111 cohort at this coordinate via catalog and explicit consumer deps","mixed RC counters or ranges",recommended,Effect RC,yes,"real lock/install verification","R2.90 / scaffold"
D5,Internal workspace deps,CONFIRMED,"workspace:*","duplicated repository versions",recommended,stable workspace mechanism,no,"none","implementation scaffold"
D6,Lockfile and CI install,CONFIRMED,"commit text bun.lock and use bun ci/frozen install","mutable CI install",recommended,current Bun,no,"generate real lock in scaffold","implementation scaffold"
D7,Lifecycle trust,INFERRED,"minimal reviewed trustedDependencies","broad trust",recommended,supply-chain policy,yes,"safe lifecycle fixture and actual install","implementation/security review"
D8,Task runner,INFERRED,"no external task runner initially","Turbo; Nx",defer,n/a,yes,"measure orchestration/cache gap","future scale review"
D9,TypeScript topology,INFERRED,"runtime-specific configs; no Bun types in portable/browser/workerd code","one global tsconfig with host types",recommended,TypeScript conventions,yes,"compile all workspace variants","scaffold"
D10,Browser build,CONFIRMED,"retain Vite; Bun runs scripts/deps","replace Vite with Bun bundler by decree",recommended,Vite stable,yes,"R2.5 current production build measurement","R2.90 / scaffold"
D11,Test runners,INFERRED,"Bun test + Vitest/@effect-vitest + Playwright by responsibility","single runner for all semantics",recommended,mixed stable/RC,yes,"R2.8 final coordination","R2.8/R2.90"
D12,Initial graph,INFERRED,"apps/site; apps/content-compiler; packages/content; packages/study","merge study into site; add worker later",recommended,project architecture,yes,"validate consumers and bundle graph","R2.90"
D13,Numeric bundle budgets,BLOCKED,"keep structural size gate but no invented bytes","reuse v3 numbers",provisional,n/a,yes,"R2.5 exact bundle measurements","R2.5/R2.90"
