question_id,question,status,resolving_evidence,owner,blocking
Q01,Raw E04 and E08 reports are absent from the immutable repository tree,UNKNOWN,Recover exact raw artifacts with provenance/checksums or formally waive them,Maintainer/corpus recovery,No; normalized summaries used with caveat
Q02,Fixture has no bun.lock and no compile/runtime proof,BLOCKED,Run with Bun 1.4.0 in network-enabled environment; read installed AGENTS.md; commit lock and raw output,R2.1 follow-up,Yes for implementation acceptance
Q03,Exact IndexedDB provider and transaction design,UNKNOWN,R2.4 atomic attempt/checkpoint and pack activation proof,R2.4,Yes
Q04,Renderer and UI state ownership,UNKNOWN,R2.2 representative player/accessibility evaluation,R2.2,Yes for renderer package decisions
Q05,Browser service-worker and Worker platform package selection,UNKNOWN,R2.3 source/runtime matrix,R2.3,Yes for host roots
Q06,Browser cost of Effect and package boundaries,UNKNOWN,R2.5 measured Bun/Vite bundles,R2.5,Yes for budgets
Q07,Content compiler schema/package split,UNKNOWN,R2.6 publication-gate design and fixture,R2.6,Yes for final exports
Q08,Bun workspace catalogs linker scripts and CI mechanics,UNKNOWN,R2.7 workspace research,R2.7,Yes for root manifest
Q09,Test runner and Effect testing integration,UNKNOWN,R2.8 compare Bun test @effect/vitest browser tests and TestClock,R2.8,Yes for test dependencies
Q10,Whether correction submission justifies apps/worker,UNKNOWN,Product decision plus R2.3 endpoint analysis,Maintainer/R2.3/R2.90,No for static site; yes before Worker creation
Q11,Whether packages/study earns a package after implementation starts,INFERRED,Track consumers ownership and duplication; merge if no real boundary,R2.90/implementation,No; falsifier
Q12,Effect v4 coordinate at scaffold time,UNKNOWN,Re-run current-v4 gate and deliberate exact upgrade,Implementation launch,Yes
