decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D01,Initial workspace graph,INFERRED,Start with apps/site apps/content-compiler packages/content packages/study,Merge study into site; add worker later,proposed,architecture provisional,yes,R2.2-R2.8 reconciliation and implementation pressure,R2.90 synthesis
D02,Service definition form,CONFIRMED,Use Context.Service with stable explicit identifiers,Legacy v3 tags/services,adopt,v4 RC stable export,yes,Bun compile probe blocked,implementation
D03,Layer ownership,CONFIRMED,Explicit focused Layers owned by host implementation and composed at roots,Auto Default/Live; giant root package,adopt,v4 RC stable export,yes,Bun lifecycle probe blocked,R2.8 and implementation
D04,Attempt commit owner,INFERRED,One domain-level AttemptStore operation owns event/projection/review/checkpoint transaction,Raw IDB transaction in portable code; store per object store,proposed,depends on storage provider,yes,R2.4 transaction proof,R2.4 and R2.90
D05,Browser runtime bridge,CONFIRMED source; INFERRED adoption,One app-owned ManagedRuntime for repeated imperative entry,runPromise scattered; runtime per event,proposed,v4 RC stable export,yes,browser probe blocked and renderer undecided,R2.2/R2.3/R2.8
D06,Bun compiler root,CONFIRMED source; INFERRED adoption,Finite program run with BunRuntime.runMain,NodeRuntime; hidden Vite callback,proposed,coordinated v4 platform source,yes,Bun probe blocked,R2.7 and implementation
D07,Context.Reference use,CONFIRMED,Use only for overridable nondurable defaults/policies,durable settings/state or service locator,adopt,v4 RC stable export,no,none,implementation
D08,Pure deterministic logic,INFERRED,Keep assembly projection scheduling compatibility and transitions pure,Service per function,proposed,project architecture,yes,Final algorithms not selected,R2.6/R2.8/implementation
D09,Permanent session randomness,INFERRED,Project-owned versioned pure PRNG and seed derivation,Math.random; unspecified Effect Random algorithm,proposed,project durability requirement,yes,Algorithm selection and vectors,R2.8/implementation
D10,Cloudflare Worker workspace,INFERRED,Do not create until a real endpoint is approved,Empty Worker app,deferred,deployment requirement open,yes,R2.3 and product decision,R2.3/R2.90
D11,Unstable Effect namespaces,CONFIRMED policy,None required by recommended graph; isolate future use,Implicit adoption,adopt,unstable by package contract,yes when introduced,Future lane decisions,all lanes
D12,Fixture evidence,BLOCKED,Preserve source and rerun with Bun 1.4.0; do not fabricate lock/result,Claim source inspection as runtime proof,blocked,exact coordinate selected,yes,No Bun/network in runner,follow-up probe
