probe_id,label,workspace,source_state,build_state,measurement_state,stability,notes
P01,tiny progressive enhancement,apps/static-reference,EMITTED_NO_EFFECT,BLOCKED,BLOCKED,stable,Pure DOM source emitted; Vite build cannot run.
P02,basic executable Effect,isolated probe,GATED,BLOCKED,BLOCKED,v4 RC,Await installed Effect AGENTS gate.
P03,Schema decode + execution,isolated probe,GATED,BLOCKED,BLOCKED,v4 RC,Await installed Effect AGENTS gate.
P04,Context.Service + Layer,packages/fixture-effect-services,GATED,BLOCKED,BLOCKED,v4 RC,Await installed Effect AGENTS gate.
P05,browser IndexedDB,isolated browser probe,GATED,BLOCKED,BLOCKED,v4 RC,Current API confirmed in @effect/platform-browser/IndexedDb; bytes unmeasured.
P06,Stream,isolated probe,GATED,BLOCKED,BLOCKED,v4 RC,Await installed Effect AGENTS gate.
P07,reactivity Atom core,isolated probe,GATED,BLOCKED,BLOCKED,unstable v4 RC,Current Atom module is under effect/unstable/reactivity.
P08,BrowserHttpClient,isolated browser probe,GATED,BLOCKED,BLOCKED,v4 RC + unstable HTTP transitive,Browser wrapper exists; imports unstable HTTP modules; bytes unmeasured.
P09,unstable HTTP/HttpApi Worker,apps/optional-worker,GATED,BLOCKED,BLOCKED,unstable v4 RC,Worker-specific source/build not emitted.
P10,question player direct DOM,apps/question-player-direct-dom,GATED,BLOCKED,BLOCKED,v4 RC,Shared content/package edges pinned; Effect-bearing source gated.
P11,question player renderer candidate,apps/question-player-renderer-candidate,GATED,BLOCKED,BLOCKED,v4 RC + Preact 10.29.8,Renderer comparison not emitted/built.
P12,native service worker,apps/service-worker,EMITTED_NO_EFFECT,BLOCKED,BLOCKED,web platform stable,Native baseline source emitted; Vite build blocked.
P13,Effect service worker,apps/service-worker,GATED,BLOCKED,BLOCKED,v4 RC,Effect comparison source gated.
