probe_id,probe,status,runtime,coordinate,evidence_file,truth_boundary
P-01,Native fetch abort and server disconnect,OBSERVED,Chromium 144.0.7559.96,localhost HTTP,raw-results/browser-runtime-probe.json; raw-results/browser-server-events.jsonl,"Browser AbortController cancellation reached the local server; not an Effect BrowserHttpClient execution"
P-02,Native IndexedDB commit and abort,OBSERVED,Chromium 144.0.7559.96,Web IndexedDB,raw-results/browser-runtime-probe.json,"A readwrite transaction committed and an explicit abort rolled back; not an @effect/platform-browser execution"
P-03,Service Worker event lifetime and respondWith,OBSERVED,Chromium 144.0.7559.96,install/activate/fetch/message,raw-results/browser-runtime-probe.json,"waitUntil and respondWith ownership observed in a real browser"
P-04,Browser Web API matrix,OBSERVED,Chromium 144.0.7559.96,Cache Storage/BroadcastChannel/Web Locks/StorageManager/Compression/Streams/Crypto/Worker/DOM,raw-results/browser-runtime-probe.json,"Availability and one successful operation at the exact browser coordinate only"
P-05,Cloudflare-compatible module handler type/build,OBSERVED,TypeScript 5.8.3 + Node v22.16.0,ExportedHandler-shaped module worker,raw-results/workerd-compatible-build-probe.txt,"Type/build and Web Request/Response behavior only; not workerd runtime proof"
P-06,Module-scope handler reuse shape,OBSERVED,Node v22.16.0,one ESM import/two requests,raw-results/workerd-compatible-build-probe.txt,"Shows module-scope construction reuse in Node only; not Effect Layer or Cloudflare isolate proof"
P-07,BrowserHttpClient typed status and Schema decode,BLOCKED,None,effect/platform-browser 4.0.0-rc.110 candidate,raw-results/EXECUTION-BLOCKERS.txt,"Source-confirmed API and committed fixture only; package unavailable for execution"
P-08,First-party Effect IndexedDB operation,BLOCKED,None,@effect/platform-browser 4.0.0-rc.110 candidate,raw-results/EXECUTION-BLOCKERS.txt,"Source-confirmed API and committed fixture only; package unavailable for execution"
P-09,BunRuntime and FileSystem operation,BLOCKED,None,Bun 1.4.0 + Effect rc.110 cohort,raw-results/EXECUTION-BLOCKERS.txt,"No Bun executable/package install/bun.lock"
P-10,Effect HTTP Request-to-Response handler,BLOCKED,None,effect 4.0.0-rc.110 candidate,raw-results/EXECUTION-BLOCKERS.txt,"Source-confirmed toWebHandler behavior and committed fixture only"
P-11,Effect Layer construction reuse,BLOCKED,None,effect 4.0.0-rc.110 candidate,raw-results/EXECUTION-BLOCKERS.txt,"Source confirms lazy cached handler construction; no package execution"
P-12,workerd runtime execution,BLOCKED,None,workerd 1.20260821.1 candidate,raw-results/EXECUTION-BLOCKERS.txt,"No workerd/Wrangler/Miniflare executable"
P-13,Effect browser bundle measurement,BLOCKED,None,Effect rc.110 candidate,raw-results/EXECUTION-BLOCKERS.txt,"No installed Effect cohort or Bun bundler"
