question_id,status,question,why_open,resolution_probe,owner_handoff
"Q001","BLOCKED","What exact same-version Effect v4 cohort is installable with Bun now?","Source is rc.111 but observed @effect/platform-bun npm rc tag is rc.110; browser adapter rc.111 registry availability was not established","With Bun/network available, create private fixture; resolve exact effect/platform-browser/platform-bun/vitest versions; commit genuine bun.lock; reject mixed cohort unless upstream explicitly supports and probe proves it","workspace/dependency-lock lane"
"Q002","BLOCKED","Does installed effect package contain package-local AGENTS.md and what exact v4 guidance applies?","Contract requires reading installed node_modules/effect/AGENTS.md before code-level Effect work; no Bun/package install available","Install exact cohort in Bun fixture and read node_modules/effect/AGENTS.md plus linked package guidance completely","first implementation/probe lane"
"Q003","BLOCKED","Does typed v4 IndexedDB satisfy durable commit-before-reveal in real browsers under failure/interruption?","Source shows oncomplete wait + abort + scheduler-yield suppression but source inspection is not runtime proof","Chrome/Firefox/WebKit integration test: multi-store write; inject failure/interruption; assert Effect success only after oncomplete; retry idempotence; no reveal before success","IndexedDB/offline lane"
"Q004","BLOCKED","Which IndexedDB transaction durability should authoritative progress writes use?","IndexedDbTable source defaults durability to relaxed; browser support/latency tradeoff not measured","Probe relaxed/default/strict support and failure semantics on target browsers; decide explicitly per write class","IndexedDB/offline lane"
"Q005","BLOCKED","What is the bundle cost of typed IndexedDB plus its unstable Reactivity dependency?","Provider source imports effect/unstable/reactivity; browser performance budget is strict","Build representative Vite/Bun-managed browser chunks with and without typed IDB; report minified+Brotli/gzip and dependency graph","browser-bundling lane"
"Q006","BLOCKED","Is the unstable Reactivity dependency required for all project IndexedDB usage or can provider composition avoid it?","Current IndexedDbDatabase imports Reactivity; migration risk may matter","Compile/source-trace minimal provider fixture; inspect emitted dependency graph; evaluate replaceability behind ProgressStore","IndexedDB/offline + bundling lanes"
"Q007","BLOCKED","What exact Service Worker cache/update protocol will be selected?","This lane fixes runtime lifetime boundaries, not full offline protocol/provider schema","Real PWA spike with staged pack verification, activation, rollback, restart, old/new-worker races and cache corruption","IndexedDB/offline lane"
"Q008","BLOCKED","Should the corrections endpoint use native Fetch handler or unstable Effect HTTP/HttpApi?","Current product expects only a tiny optional endpoint, so complexity threshold is not met","Implement/probe native baseline; if endpoint set grows, compare HttpRouter/HttpApi for bundle/runtime/migration value","Cloudflare/backend implementation"
"Q009","BLOCKED","Does HttpEffect.toWebHandler cancellation behave correctly in workerd under chosen compatibility date?","Current source listens to request.signal; Cloudflare incoming signal behavior is compatibility-flag-sensitive","Wrangler/workerd test with pinned compatibility date and enable_request_signal; abort client request; verify fiber interruption/resource cleanup","Cloudflare/backend implementation"
"Q010","BLOCKED","Can any long-lived Layer/context be safely cached at Cloudflare module scope without correctness coupling to isolate lifetime?","Layer caching may improve cold-start but isolate survival is not guaranteed","workerd lifecycle/cold-start probe; ensure every correctness dependency is reconstructible per request and bindings are not stale","Cloudflare/backend implementation"
"Q011","BLOCKED","Will Bun.build be used directly for browser chunks or will Vite remain the specialist bundler?","Architecture constraints currently prefer Vite while Bun owns workspace; this lane only classifies Bun-specific capability","Bundling lane measurement comparing selected Vite path and any Bun.build candidate against HTML/static chunk requirements","browser-bundling/workspace lanes"
"Q012","UNKNOWN","Will the compiler require external subprocesses?","Bun adapter offers unstable ChildProcessSpawner but no current compiler requirement justifies it","Finalize content/asset pipeline; add process service only if a named external tool remains necessary","compiler/asset lanes"
"Q013","UNKNOWN","Will any product feature require WebSocket/raw socket support?","Current requirements do not; Effect socket family is unstable","Reopen only from concrete realtime product requirement","future product/backend"
"Q014","UNKNOWN","Will any dedicated Worker protocol be justified by profiling?","Effect workers are unstable and are not needed for Service Worker semantics","Profile heavy deterministic generation/geometry/scene work; adopt worker boundary only for measured isolation/CPU need","performance/asset lanes"
"Q015","BLOCKED","Which test runner owns each workspace under the final Bun monorepo?","@effect/vitest is recommended for Effect tests but Bun test remains useful for pure/tooling tests; testing lane owns final matrix","Testing synthesis across Bun test, @effect/vitest, browser harness, accessibility and workerd integration","testing lane"
"Q016","BLOCKED","Has the source branch drifted after lane start?","Parallel lanes may update reconciliation branch while this lane remains based on immutable merge SHA","Final compare immutable source SHA to current agent/chat-corpus-reconciliation; record ahead/identical status without rebasing","this lane final receipt"
