asset_type	stable_id	opaque_asset_id	revision	review_surface	visual_mode	aspect_ratio	background_mode	detail_density	phone_legibility	print_legibility	crop_tolerance	permitted_contexts	prohibited_contexts	identity_fit	slop_flags	disposition	notes
tool	tool.scrub-brush	t001	1	phone=content/assets/derivatives/tools/t001-phone.png;print=content/assets/derivatives/tools/t001-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.staple-gun	t002	1	phone=content/assets/derivatives/tools/t002-phone.png;print=content/assets/derivatives/tools/t002-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	ppe.protective-gloves	t003	1	phone=content/assets/derivatives/tools/t003-phone.png;print=content/assets/derivatives/tools/t003-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.push-broom	t004	1	phone=content/assets/derivatives/tools/t004-phone.png;print=content/assets/derivatives/tools/t004-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	use-as-is	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.angle-broom	t005	1	phone=content/assets/derivatives/tools/t005-phone.png;print=content/assets/derivatives/tools/t005-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.dust-mop	t006	1	phone=content/assets/derivatives/tools/t006-phone.png;print=content/assets/derivatives/tools/t006-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.wet-mop	t007	1	phone=content/assets/derivatives/tools/t007-phone.png;print=content/assets/derivatives/tools/t007-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.flat-mop	t008	1	phone=content/assets/derivatives/tools/t008-phone.png;print=content/assets/derivatives/tools/t008-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	equipment.mop-bucket-wringer	t009	1	phone=content/assets/derivatives/tools/t009-phone.png;print=content/assets/derivatives/tools/t009-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
tool	tool.deck-brush	t010	1	phone=content/assets/derivatives/tools/t010-phone.png;print=content/assets/derivatives/tools/t010-print.png	tonal-line	1:1	near-white-native	single-object-moderate	ledger-pass-at-320x320	ledger-pass-grayscale	none-use-contain	atlas-reference;original-practice-within-recorded-scope	decorative-brand-surface;cropped-or-filtered-use;implied-official-content	compatible-with-framing	none-recorded-in-release-review	constrain-to-reference	Ledger phone/print review: pass. Rights review: pass — original generated geometry; no prohibited source image supplied; no logo/trade dress or official-item reconstruction observed. Exact accepted derivatives only.
