source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
"S001","project primary","Shared Effect v4/Bun research contract","post-curation merge base","645e885748c830f7a9cbbbe90ac0f31149bfc81c","prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md","https://github.com/mannyc2/nycustodianexam/blob/645e885748c830f7a9cbbbe90ac0f31149bfc81c/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md","2026-08-21T19:43:00Z","lane governance, evidence statuses, runtime/probe discipline","contains a self-referential post-curation SHA stamping requirement documented in START-RECEIPT"
"S002","project primary","Architecture constraints","post-curation merge base","645e885748c830f7a9cbbbe90ac0f31149bfc81c","product/ARCHITECTURE_CONSTRAINTS.md","https://github.com/mannyc2/nycustodianexam/blob/645e885748c830f7a9cbbbe90ac0f31149bfc81c/product/ARCHITECTURE_CONSTRAINTS.md","2026-08-21T19:45:00Z","latest-v4 mandate, Bun direction, durable commit-before-reveal, Cloudflare/static constraints","project authority, not upstream Effect API evidence"
"S003","project primary","Effect v4/Bun research doctrine","post-curation merge base","645e885748c830f7a9cbbbe90ac0f31149bfc81c","research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md","https://github.com/mannyc2/nycustodianexam/blob/645e885748c830f7a9cbbbe90ac0f31149bfc81c/research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md","2026-08-21T19:46:00Z","Effect-native architecture and Bun workspace discipline","project doctrine, not runtime proof"
"S004","project historical primary","Initial-pass E06 browser/Web API fit","normalized raw archive","645e885748c830f7a9cbbbe90ac0f31149bfc81c","research/initial-pass/raw/effect/06-effect-platform-browser-web-api-fit/","https://github.com/mannyc2/nycustodianexam/tree/645e885748c830f7a9cbbbe90ac0f31149bfc81c/research/initial-pass/raw/effect/06-effect-platform-browser-web-api-fit","2026-08-21T19:49:00Z","problem framing and false-portability principles","v3-era package/API conclusions are superseded"
"S005","project historical primary","Initial-pass E09 Cloudflare v4 correction","normalized raw archive","645e885748c830f7a9cbbbe90ac0f31149bfc81c","research/initial-pass/raw/effect/09-effect-v4-cloudflare-research-correction.md","https://github.com/mannyc2/nycustodianexam/blob/645e885748c830f7a9cbbbe90ac0f31149bfc81c/research/initial-pass/raw/effect/09-effect-v4-cloudflare-research-correction.md","2026-08-21T19:49:00Z","explicit requirement to redo Cloudflare from current v4 source","correction notice only, not a complete architecture"
"S010","Effect upstream source","effect package manifest","4.0.0-rc.111","436f10d1efccec308426532ff3f88df9a96434f3","packages/effect/package.json","https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/package.json","2026-08-21T20:00:00Z","exact core version and stable/unstable export families","source existence does not prove registry availability or runtime behavior"
"S011","Effect upstream source","platform-browser package manifest and source","4.0.0-rc.111","436f10d1efccec308426532ff3f88df9a96434f3","packages/platform/browser/","https://github.com/Effect-TS/effect/tree/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser","2026-08-21T20:03:00Z","browser package version, Crypto, IndexedDB, HTTP, persistence, workers, sockets, runtime modules","no local installed-package probe was possible"
"S012","Effect upstream source","platform-bun package manifest and source","4.0.0-rc.111","436f10d1efccec308426532ff3f88df9a96434f3","packages/platform/bun/","https://github.com/Effect-TS/effect/tree/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/bun","2026-08-21T20:10:00Z","Bun runtime/filesystem/path/crypto/http/workers/sockets implementations","source version exceeds observed npm platform-bun rc tag"
"S013","Effect upstream source","HttpEffect Web handler bridge","4.0.0-rc.111","436f10d1efccec308426532ff3f88df9a96434f3","packages/effect/src/unstable/http/HttpEffect.ts","https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/src/unstable/http/HttpEffect.ts","2026-08-21T20:22:00Z","toWebHandler/toWebHandlerLayer behavior and Request abort integration","entire HTTP family is under effect/unstable/http"
"S014","Effect upstream source","@effect/vitest integration","4.0.0-rc.111","436f10d1efccec308426532ff3f88df9a96434f3","packages/vitest/src/index.ts","https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/vitest/src/index.ts","2026-08-21T20:19:00Z","Effect tests, shared Layers, scopes, property tests","does not replace browser/runtime integration testing"
