question_id,question,evidence_status,status,why_open,resolving_evidence,handoff,blocks_release
R2.9-O01,What native dimensions/formats does the current Codex image surface produce?,UNKNOWN,open,"dimensions must be observed rather than assumed","Phase 0 exact output files and metadata",visual pilot,yes-for-production-template
R2.9-O02,What one-image prompt/reference package best matches the released sample style while preserving technical accuracy?,UNKNOWN,open,"must be measured on simple difficult and obscure tools","blind pilot review and versioned accepted briefs",visual pilot,yes-for-bulk-production
R2.9-O03,Can multi-image generation preserve per-tile pixels style and decisive geometry as well as one-image generation?,UNKNOWN,open,"batch behavior and native dimensions are empirical","Phase 3 one-vs-batch results",visual pilot,no-default-is-single
R2.9-O04,What hotspot tolerance is fair on supported small-phone viewports without target/decoy overlap?,UNKNOWN,open,"interaction tolerance is display/device dependent","blind marker and overlap tests",hazard player pilot,yes-for-hazard-release
R2.9-O05,Which exact source-backed briefs are admitted for each production chemical/electrical/food-service scene?,PER_ITEM,open,"visual generation cannot create safety authority","claim registry and content review per scene",content production,yes-per-scene
R2.9-O06,What screen-reader/browser/device matrix certifies visual and nonvisual scene behavior?,UNKNOWN,open,"document design is not runtime certification","testing lane implementation matrix",testing/accessibility,yes-for-release
R2.9-O07,What web/print raster formats resolutions and compression settings pass the measured quality budgets?,UNKNOWN,open,"must start from observed masters and actual pages","pilot derivatives bundle measurements and print tests",bundling/offline,yes-for-release
R2.9-O08,How are opaque region/key data packaged offline without convenient answer leakage?,UNKNOWN,open,"offline scoring necessarily ships keys","content compiler and browser build leak tests",compiler/security,yes-for-release
R2.9-O09,How are independent reviewers calibrated on accidental hazards technical tool features and suspicious similarity?,UNKNOWN,open,"zero-tolerance codes require consistent interpretation","duplicate pilot review and disagreement log",content QA,yes-for-bulk-production
R2.9-O10,Which exact generated image is approved now?,NONE,per-asset,"architecture approval does not approve pixels","complete exact-hash review record",content production,yes-per-asset
