evidence,expected_path_or_name,recovery_state,note
outer archive,all-research-2026-08-21.zip,available-at-intake,"SHA-256 40cfab3f2a0a6d26782b7e24776d4d595ba6cef86389836030134844c3aaeff5; not required after nested extraction"
nested research bundle,recovered-input/research-bundle.zip,committed-and-verified,"SHA-256 a3dbdb262733be6527347e26cb5e6d8fdb612cf7ee6a09574730a7a6ad188b06; 90 ZIP entries"
separate POC evidence archive,poc-evidence.zip,not-required,"the committed research bundle contains the complete POC source, parameters, manifests, builds, and derivatives"
research report,research-report.md,recovered-with-identity-conflict,"archive report is 101586 bytes; GitHub fragments and earlier size claim remain distinct records"
asset schema,asset-manifest.schema.json,recovered,proposal only
taxonomy inventory,taxonomy-inventory.csv,recovered,historical inventory; not current production authority
confusable pairs,confusable-pairs.csv,recovered,historical pair set; current taxonomy controls production
visual invariant sheets,first-20-visual-invariants.csv,recovered,historical research evidence
source/rights ledger,source-ledger.csv,recovered,contains research source and rights declarations
top-level POC summary,poc-summary.json,recovered,verified by committed probe
deliverable checksums,DELIVERABLE-SHA256SUMS,recovered-and-verified,79/79 historical verification
POC build script,poc/build_poc.py,recovered-and-reexecuted,fresh two-run exact rebuild completed
POC parameter records,poc/parameters/*.json,recovered-and-audited,four records
POC internal summary,poc/poc-summary.json,recovered,verified
POC manifest,poc/MANIFEST.sha256,recovered-and-verified,79/79
fresh build A,temporary fresh workspace,executed,79/79 exact against historical
fresh build B,temporary fresh workspace,executed,79/79 exact against build A
STEP/STL/GLB/SVG/PNG/WebP outputs,recovered derivatives,present-and-inspected,retired as production-art candidates
