candidate,role,question_player_fit,hazard_player_fit,lifecycle_model,effect_v4_atom_path,manual_reconciliation_risk,framework_cost,current_recommendation,adoption_gate,evidence_status
direct DOM plus controller,default standards-first adapter,"Plausible with one stable semantic form and centralized patcher","Plausible but keyed marks and synchronized visual/text views are the stress point","Project-owned Effect Scope and explicit listener/observer cleanup","Direct AtomRegistry subscription possible but not required",HIGH as conditional regions and collections grow,LOW,"Prototype as one matched arm; retain for static/simple pages","All invariant tests; no generic reconciler; <=15% more renderer LOC than Lit; no extra defects",INFERRED
direct DOM plus AtomRegistry,reactive direct-DOM adapter,"No intrinsic rendering advantage over controller subscription","Can fan out derived mark state but still needs manual DOM reconciliation","Registry mount/dispose plus project Scope","Native core Atom APIs",HIGH,LOW_TO_MEDIUM,"Do not adopt for one subscriber; test only if multiple consumers emerge","Atom adoption gate plus direct-DOM gate",INFERRED
standalone lit-html plus controller,small declarative island,"Strong fit for conditional commit/reveal regions and repeated options","Strong first challenger for keyed marks and synchronized templates","Controller Scope owns subscription; template root disposed explicitly","Manual controller subscription; no official Lit binding needed",LOW_TO_MEDIUM,LOW,"Preferred challenger in matched spike; likely first escalation from direct DOM","All invariant tests plus >=20% reconciliation reduction or defect elimination within route budget",INFERRED
standalone lit-html plus AtomRegistry,declarative island with reactive projection,"Useful only with multiple consumers or Effect-backed derived reads","Useful if visual/text regions independently consume derived state","Registry and template root owned by one island Scope","Core AtomRegistry subscribe or project adapter",LOW_TO_MEDIUM,MEDIUM,"Defer until Atom trigger exists","Lit gate and Atom gate both pass",INFERRED
Solid plus controller/signals,full fine-grained island framework,"Strong component and conditional-rendering fit","Strong keyed-list and fine-grained interaction fit","Solid owner cleanup and root disposer","Can remain controller-driven without Atom",LOW,MEDIUM,"Framework fallback after matched spike","Solid escalation trigger; >=20% lifecycle/code benefit; approved compiler and bundle budget",CORROBORATED
Solid plus @effect/atom-solid,Effect-integrated Solid island,"Official accessor/write/resource bridge","Official cleanup and registry provider map well to independently updating regions","Solid owner plus provider-owned AtomRegistry","Official package at 4.0.0-rc.111",LOW,MEDIUM_TO_HIGH,"Use only after both Solid and Atom are independently justified","Solid gate plus Atom gate; exact cohort revalidated",CONFIRMED
React plus @effect/atom-react,React application integration,"Technically strong external-store integration","Technically capable but no product-specific advantage established","React hooks/provider; React scheduler; delayed registry disposal","Official package at 4.0.0-rc.111",LOW,HIGH,"Defer; current product has no React requirement","Written external React requirement plus target measurements",CONFIRMED
Preact plus controller,small React-like island,"Capable through project controller subscription","Capable but no Effect-specific lifecycle advantage","Preact component cleanup/project adapter","No official Effect Preact binding at pinned commit",LOW,MEDIUM,"Defer; not a useful compromise today","Independent React-like API need plus measured advantage",OBSERVED
Preact compat plus @effect/atom-react,compatibility experiment,"Unknown until peer/scheduler/Suspense behavior is verified","Unknown for lifecycle and hydration edge cases","Preact compat emulating React lifecycle","Unofficial compatibility path",LOW,MEDIUM_TO_HIGH,"Do not adopt without explicit fixture and support evidence","Preact gate plus compatibility fixture",UNKNOWN
React or Solid for static pages,site-wide framework shell,"Unnecessary for crawlable reference content","Not applicable to noninteractive pages","Framework root lifecycle","Bindings irrelevant",LOW,HIGH,"Reject as default site architecture","Only reconsider after a separate site-wide requirement",CONFIRMED
