source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
S001,repository,R2.5 lane prompt,agent/chat-corpus-reconciliation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/05-effect-v4-browser-bundling.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/05-effect-v4-browser-bundling.md,2026-08-21T22:55:00Z,"lane scope, fixture topology, probe matrix, required outputs","repository contract; not runtime evidence"
S002,repository,Launch contract,agent/chat-corpus-reconciliation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/LAUNCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/LAUNCH-CONTRACT.md,2026-08-21T22:55:00Z,immutable source and launch gate,repository contract
S003,repository,Shared research contract,agent/chat-corpus-reconciliation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-21T22:55:00Z,"evidence statuses, Bun gates, reproducibility and receipts",repository contract
S004,repository,Recovered first-pass Effect browser bundling report,agent/chat-corpus-reconciliation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/raw/effect/02-effect-browser-bundling-findings.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/effect/02-effect-browser-bundling-findings.md,2026-08-21T22:55:00Z,"methodology only: independent compression, route closure accounting, static isolation, clean rebuilds","v3 package numbers/recommendations/budgets explicitly superseded"
S005,upstream-source,Effect core package manifest,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/effect/package.json,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/effect/package.json,2026-08-21T22:55:00Z,"v4 version, exports, sideEffects metadata","source manifest; install not executed"
S006,registry,effect npm versions,4.0.0-rc.111,,effect@4.0.0-rc.111,https://www.npmjs.com/package/effect?activeTab=versions,2026-08-21T22:55:00Z,newest published v4 RC and npm dist-tags,"registry metadata; not installed"
S007,upstream-source,Effect browser platform package manifest,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/package.json,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/package.json,2026-08-21T22:55:00Z,matching browser-platform cohort and sideEffects metadata,"source manifest; not installed"
S008,upstream-source,Effect browser IndexedDB module,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/src/IndexedDb.ts,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/src/IndexedDb.ts,2026-08-21T22:55:00Z,current browser IndexedDB service and layerWindow,"source API; bundle cost not measured"
S009,upstream-source,Effect BrowserHttpClient module,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/src/BrowserHttpClient.ts,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/src/BrowserHttpClient.ts,2026-08-21T22:55:00Z,browser fetch/XHR client and dependency on unstable HTTP modules,"source API; bundle cost not measured"
S010,upstream-source,Effect reactivity Atom module,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/effect/src/unstable/reactivity/Atom.ts,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/effect/src/unstable/reactivity/Atom.ts,2026-08-21T22:55:00Z,Atom is currently under unstable/reactivity,"stability is explicitly unstable; no runtime measurement"
S011,upstream-source,Effect agent instructions,current v4 source,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,.agents/AGENTS.md,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/.agents/AGENTS.md,2026-08-21T22:55:00Z,current Effect coding guidance; repository setup symlinks root AGENTS.md here,"shared contract still requires installed node_modules/effect/AGENTS.md; install blocked"
S012,vendor-docs,Bun homepage/release,1.4.0,,bun@1.4.0,https://bun.com/,2026-08-21T22:55:00Z,latest Bun stable coordinate and package-manager role,"vendor docs; binary unavailable in environment"
S013,vendor-docs,Bun lockfile reference,1.4.0,,BunLockFile,https://bun.com/reference/bun/BunLockFile,2026-08-21T22:55:00Z,"text lockfile structure, configVersion and workspace fields","reference only; lockfile not generated"
S014,upstream-source,Vite package manifest,8.2.2,,packages/vite/package.json,https://github.com/vitejs/vite/blob/v8.2.2/packages/vite/package.json,2026-08-21T22:55:00Z,Vite exact version and rolldown ~1.2.4 dependency,"source manifest; build not run"
S015,registry,Vite npm versions,8.2.2,,vite@8.2.2,https://www.npmjs.com/package/vite?activeTab=versions,2026-08-21T22:55:00Z,latest Vite stable coordinate,registry metadata
S016,upstream-source,Rolldown package manifest,1.2.5,84c904bc2e3fd126c8c32905a2597a6716a69249,packages/rolldown/package.json,https://github.com/rolldown/rolldown/blob/v1.2.5/packages/rolldown/package.json,2026-08-21T22:55:00Z,current compatible Rolldown version and native binding targets,"native binding could not be materialized"
S017,upstream-source,Cloudflare Vite plugin package manifest,1.53.1,0cb86908903b87a742d1786ac8aa5aa9dce6c575,packages/vite-plugin-cloudflare/package.json,https://github.com/cloudflare/workers-sdk/blob/0cb86908903b87a742d1786ac8aa5aa9dce6c575/packages/vite-plugin-cloudflare/package.json,2026-08-21T22:55:00Z,plugin exact version and Vite 8 peer support,"Worker build not run"
S018,upstream-source,Wrangler package manifest,4.125.0,0cb86908903b87a742d1786ac8aa5aa9dce6c575,packages/wrangler/package.json,https://github.com/cloudflare/workers-sdk/blob/0cb86908903b87a742d1786ac8aa5aa9dce6c575/packages/wrangler/package.json,2026-08-21T22:55:00Z,Wrangler exact coordinate,"Worker validation not run"
S019,registry,Preact npm package,10.29.8,,preact@10.29.8,https://www.npmjs.com/package/preact,2026-08-21T22:55:00Z,renderer candidate exact coordinate,"comparison only; not bundled"
S020,registry,Terser npm package,5.50.0,,terser@5.50.0,https://www.npmjs.com/package/terser,2026-08-21T22:55:00Z,minifier comparison coordinate,"comparison not run"
