command,owner,runner,ordering,parallelism,purpose,recommendation
install,root,Bun,n/a,n/a,Resolve workspace and lockfile,"bun install locally; bun ci in CI"
typecheck,root,Bun filters,explicit prerequisites,parallel where independent,Type-check all workspaces,"Use bun --filter; do not assume dependency order"
content-build,apps/content-compiler,BunRuntime,finite,sequential before site build,Validate and emit generated content,"Explicit root prerequisite"
site-dev,apps/site,Vite,long-running,single foreground process,Browser development,"Use Vite directly through Bun script"
site-build,apps/site,Vite,after content build,sequential dependency,Production browser/static build,"Do not replace Vite with Bun bundler by decree"
test-pure,relevant workspace,Bun test,independent,parallelizable,Fast deterministic pure/Bun tests,"Use Bun test where no Effect/Vitest integration is needed"
test-effect,relevant workspace,Vitest plus @effect/vitest,after install,parallelizable,Effect services/Layers/property tests,"Keep exact Effect cohort"
test-browser,root or apps/site,Playwright,after production fixture build,worker-level parallelism,Real browser behavior and accessibility,"Run against built/served artifacts"
preview,apps/site,Vite or Cloudflare tooling,after build,single foreground process,Local production preview,"Use specialist preview tool"
size,root,measurement scripts,after site build,sequential after artifacts,Route-closure and bundle budgets,"Numeric gates provisional until R2.5 rerun"
ci,root,Bun plus specialist tools,explicit DAG,controlled,Complete verification,"No external task runner initially"
