package_or_runtime,source_version,source_ref,registry_or_release_coordinate,publication_status,stability,selected_for_probe,evidence_status,notes
effect,4.0.0-rc.111,Effect-TS/effect@993f4be99949d4682f79c22b9cb8dc2fda37ec7c,npm effect@4.0.0-rc.111,source and published RC coordinate confirmed; not installed locally,release candidate; stable root exports plus explicit unstable namespaces,source audit; executable candidate rc.110,CONFIRMED,Current main differs from preliminary 436f10d only by an unrelated Pool benchmark.
@effect/platform-browser,4.0.0-rc.111,Effect-TS/effect@993f4be99949d4682f79c22b9cb8dc2fda37ec7c packages/platform/browser,npm @effect/platform-browser@4.0.0-rc.111,source and published RC coordinate confirmed; not installed locally,release candidate; individual modules marked since 4.0.0,source audit; executable candidate rc.110,CONFIRMED,"Browser-only package; no Bun/Node implementation dependency. Real Chromium probe exercised native provider semantics, not this package."
@effect/platform-bun,4.0.0-rc.111,Effect-TS/effect@993f4be99949d4682f79c22b9cb8dc2fda37ec7c packages/platform/bun,npm @effect/platform-bun@4.0.0-rc.110,source rc.111 ahead of observed registry rc.110,release candidate,rc.110 candidate,CONFIRMED,Depends on matching @effect/platform-node-shared. Do not combine rc.111 core with rc.110 adapter by assumption.
@effect/platform-node-shared,4.0.0-rc.111,Effect-TS/effect@993f4be99949d4682f79c22b9cb8dc2fda37ec7c packages/platform/node-shared,npm @effect/platform-node-shared@4.0.0-rc.110 candidate,transitive coherent rc.110 candidate; not installed,release candidate,transitive only,CONFIRMED,BunFileSystem and other Bun implementations deliberately reuse node-shared implementations.
@effect/vitest,4.0.0-rc.111,Effect-TS/effect@993f4be99949d4682f79c22b9cb8dc2fda37ec7c,npm @effect/vitest@4.0.0-rc.111,published RC coordinate; not installed,release candidate,no,CONFIRMED,"Recommended for Effect service/Layer/property tests, not a substitute for real browser or workerd tests."
@effect/platform,v3-era 0.x line,legacy package line,npm @effect/platform 0.x,published legacy/v3 package,stable v3 line,no,CONFIRMED,Do not install for v4 merely because first-pass reports used it; v4 capabilities moved into effect and runtime packages.
effect/unstable/http,4.0.0-rc.111,packages/effect/src/unstable/http,effect@4.0.0-rc.111 export,exported,explicitly unstable,source audit; rc.110 fixture,CONFIRMED,"Contains HttpClient protocol, Request/Response models, HttpRouter and Web handler bridge."
effect/unstable/httpapi,4.0.0-rc.111,packages/effect/src/unstable/httpapi,effect@4.0.0-rc.111 export,exported,explicitly unstable,no,CONFIRMED,Use only if endpoint count/contract generation justifies its larger unstable surface.
effect/unstable/persistence,4.0.0-rc.111,packages/effect/src/unstable/persistence,effect@4.0.0-rc.111 export,exported,explicitly unstable,no,CONFIRMED,"Relevant to simple key-value abstractions, not a replacement for product-specific transactional IndexedDB models."
effect/unstable/socket,4.0.0-rc.111,packages/effect/src/unstable/socket,effect@4.0.0-rc.111 export,exported,explicitly unstable,no,CONFIRMED,No current product requirement warrants WebSocket adoption.
effect/unstable/workers,4.0.0-rc.111,packages/effect/src/unstable/workers,effect@4.0.0-rc.111 export,exported,explicitly unstable,no,CONFIRMED,Browser Worker adapters do not model Service Worker event lifetime.
@effect/platform-browser IndexedDb*,4.0.0-rc.111,packages/platform/browser/src/IndexedDb*.ts,@effect/platform-browser@4.0.0-rc.111,exported,public stable-path modules; implementation depends on unstable Reactivity,source audit; real native provider probe,CONFIRMED+OBSERVED,Preferred provider spike behind project stores; production adoption awaits real package transaction/migration/interruption tests.
Bun,1.4.0,oven-sh/bun tag bun-v1.4.0@34cbb9a40b4bd1bd767d134a7065e66c2432a676,official Bun v1.4.0 release; @oven/bun-linux-x64@1.4.0,released,stable runtime release,"yes, but executable unavailable",CONFIRMED; execution BLOCKED,Corrects provisional d6d123 coordinate in the remote baseline.
Chromium,144.0.7559.96,/usr/bin/chromium,system package,installed,stable browser build,yes,OBSERVED,"Executed browser, IndexedDB, Service Worker, Cache Storage, Web Locks, streams, crypto, worker and abort probes."
workerd,1.20260821.1,cloudflare/workerd official source and npm package,npm workerd@1.20260821.1,published coordinate researched; executable unavailable,production runtime package with date-based release cadence,"yes, but blocked",CONFIRMED coordinate; execution BLOCKED,Node Web-handler execution is not workerd proof.
Cloudflare Workers runtime,current docs 2026-08-21,developers.cloudflare.com/workers runtime APIs,managed workerd deployment runtime,service runtime,production platform with compatibility dates/flags,source audit,CONFIRMED; runtime execution BLOCKED,"Module fetch handler, env, ExecutionContext, Web Streams and request-signal behavior remain Cloudflare-owned semantics."
Official Effect Cloudflare/workerd adapter,none found in current v4 source,Effect-TS/effect package tree at 993f4be,none,not found,n/a,no,CONFIRMED,Do not infer Cloudflare support from Web-standard compatibility alone.
