"lane","pr","repository_status","key_files","evidence_status","adopted_contribution","limits_carried_forward"
"R2.1 core topology","#11 merged","available on main","effect-core-topology/REPORT.md; DECISION-MATRIX.csv; RUNTIME-ROOTS.md","source-confirmed; runtime probes blocked","focused services; separate host roots; pure deterministic policy; Bun compiler root","four-workspace graph is inferred; no final receipt file; original Bun/Effect execution blocked"
"R2.2 UI/reactivity","#12 merged","available on main","effect-ui-reactivity/REPORT.md; STATE-OWNERSHIP.md; DECISION-MATRIX.csv; raw-results/probe-summary.csv","direct-DOM controller observed with shim; native IDB/Vite/lit blocked","five state-ownership layers; semantic focus commands; direct DOM baseline; no custom framework","renderer choice and actual lit/Vite closure remain provisional"
"R2.3 platforms/runtimes","#13 merged","available on main","effect-platform-runtimes/REPORT.md; CAPABILITY-MATRIX.csv; raw-results/PROBE-SUMMARY.csv","native Chromium APIs observed; Effect package/workerd probes blocked","four runtime roots; native host lifecycles; narrow browser/Worker adapters","first-party Effect IDB/HTTP and workerd execution unavailable"
"R2.4 IndexedDB/offline","#14 merged","available on main","effect-indexeddb-offline/REPORT.md; ATTEMPT-COMMIT-CONTRACT.md; PACK-STATE-MACHINE.md","provider source-confirmed; required browser suite blocked","one physical DB; strict atomic attempt commit; pack generation flip; cross-tab protocol","first-party provider is conditional until real-browser contract passes"
"R2.5 browser bundling","#15 merged","available on main but explicitly incomplete","effect-browser-bundling/REPORT.md; BUDGET-RECOMMENDATION.csv; ROUTE-CLOSURES.csv","BLOCKED; no current-v4 bytes","measurement method; zero-Effect static-route topology; independent increments","no numeric budgets; no Vite production closure; rerun required"
"R2.6 content compiler","#22 draft","published branch head 3ac1626; not on main","effect-schema-compiler/REPORT.md; COMPILER-PHASES.md; fixture/raw-results","current rc.111 fixture OBSERVED; 4 tests and repeat hashes pass","Schema/registry split; stable diagnostics; canonical addressing; manifest last","Bun proof is 1.3.14 while target lock is 1.4.0; production parser/canonical profile unresolved"
"R2.7 Bun monorepo","#18/#21 merged","available on main","bun-monorepo-discipline/REPORT.md; RECOMMENDED-INITIAL-GRAPH.md; DECISION-MATRIX.csv","source-confirmed; full workspace install probes blocked","private apps/packages root; catalog; isolated linker; bun.lock; runtime tsconfigs; explicit ordering","recommended four-workspace graph is inferred; exact Bun gate still required"
"R2.8 testing/a11y/observability","#19/#21 merged","available on main","testing-accessibility-observability/REPORT.md; ACCESSIBILITY-GATES.md; CI-RESPONSIBILITY-MAP.md","test architecture confirmed; representative executions mostly blocked","truthful test-environment split; release a11y/manual gates; local diagnostics default","no full real-browser/AT/workerd run and no numeric performance budget"
"R2.9 hazard scenes","#16 merged","available on main","hazard-scene-production/REPORT.md; SCENE-ASSET-ARCHITECTURE.md; GENERATIVE-BOUNDARY.md","architecture candidate; no scene/runtime pilot","semantic manifest; final-pixel/region agreement; static delivery; immutable review contract","24-candidate pilot absent; maintained recommendation rejects controlling text-to-image"
"R2.10 tool geometry","#17 merged","available on main","tool-geometry-audit/REPORT.md; POC-GEOMETRY-AUDIT.csv; evidence-availability.csv","evidence-blocked","separate reproducibility/mechanical/rights/a11y/leak gates; current taxonomy controls","four POC source/model/derivative bundles absent; none approved"
"SVG hazard prototype","#20 open draft","not an accepted research lane","prototype branch only","not evaluated by R2.90","none","do not treat prototype existence as scene approval"
