decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D001,Renderer-neutral application state,CONFIRMED,"Adopt tagged screen states and DOM-free transitions","Renderer-owned reducer; DOM as state",ADOPT,STABLE_PROJECT_CONTRACT,NO,,application architecture
D002,Commit-before-reveal owner,CONFIRMED,"IndexedDB repository Effect resolves on transaction completion; application constructs reveal afterward","Optimistic reveal; request-success reveal; renderer reveal",ADOPT,STABLE_PROJECT_CONTRACT,NO,"Persistence implementation must honor completion semantics",offline storage implementation
D003,Unknown IndexedDB outcome,INFERRED,"Freeze submitted selection and reconcile by stable command id before reveal or conflicting edit","Treat interruption as rollback; immediately unlock",ADOPT,PROJECT_POLICY,YES,"Exact IndexedDB wrapper cancellation behavior",offline storage implementation and tests
D004,Static and simple page renderer,CONFIRMED,"Use semantic HTML and direct DOM enhancement","Global framework shell",ADOPT,STABLE_PROJECT_CONTRACT,NO,,site implementation
D005,Initial interactive renderer selection,INFERRED,"Run matched direct DOM versus standalone lit-html question and hazard spike","Select Solid or React immediately",PROTOTYPE,PROJECT_POLICY,YES,"No app scaffold; no matched spike; no bundle data",first UI implementation spike
D006,Direct DOM player,INFERRED,"Adopt only if centralized patching passes invariant and comparative complexity gates","lit-html; Solid",GATED,STABLE_WEB_PLATFORM,YES,"Question/hazard spike and measurements",UI implementation lane
D007,Standalone lit-html player,INFERRED,"Preferred first escalation when it measurably removes reconciliation defects or code","Direct DOM; Solid",GATED,STABLE_PACKAGE_AT_PIN,YES,"Question/hazard spike and route budget",UI implementation lane
D008,Solid renderer,CORROBORATED,"Keep as strongest framework fallback after objective escalation trigger","lit-html; React",DEFER,STABLE_FRAMEWORK_AT_PIN,YES,"No proven component-graph need; no target bundle",future UI architecture review
D009,React renderer,CONFIRMED,"Do not adopt without an external React ecosystem requirement","Solid; lit-html",DEFER,STABLE_FRAMEWORK_AT_PIN,YES,"No current React requirement",future product architecture only if trigger appears
D010,Preact renderer,OBSERVED,"Do not adopt without an independently justified React-like API need","lit-html; Solid",DEFER,STABLE_FRAMEWORK_AT_PIN,YES,"No official Effect Atom binding; no measured advantage",future compatibility spike only if triggered
D011,Effect Atom as renderer,CONFIRMED,"Reject the premise; Atom is reactive state/runtime infrastructure, not DOM rendering","Framework/store conflation",REJECT,UNSTABLE_EFFECT_API,NO,,architecture documentation
D012,Effect Atom projection,CONFIRMED,"Adopt only for multiple consumers, scoped async reads, or measured adapter reduction","Plain controller subscription; SubscriptionRef",GATED,UNSTABLE_EFFECT_API,YES,"No present trigger; fixture unavailable",screen-by-screen adoption review
D013,AtomRegistry lifetime,CONFIRMED,"Create per interactive island/session boundary and dispose with its Scope","Implicit global default registry",ADOPT_WHEN_ATOM_USED,UNSTABLE_EFFECT_API,YES,"Lifecycle tests in target renderer",Atom adapter implementation
D014,Atom.fn for attempt commit,INFERRED,"Keep behind project command adapter; do not let node disposal define transaction rollback","Call Atom.fn directly from components",DEFER,UNSTABLE_EFFECT_API,YES,"IndexedDB cancellation/settlement fixture",persistence and UI integration
D015,Reactivity.mutation,CONFIRMED,"May invalidate progress/review queries after successful durable commit; never use invalidation as reveal evidence","Manual refresh; no invalidation layer",GATED,UNSTABLE_EFFECT_API,YES,"Actual query graph not implemented",progress/review implementation
D016,Hazard pointer state,CONFIRMED,"Keep raw motion and active gesture renderer-local; emit semantic mark command on commit","Publish every pointer move to app store",ADOPT,STABLE_PROJECT_CONTRACT,YES,"Reference-device performance test",hazard implementation
D017,Hazard semantic marks,CONFIRMED,"Own stable mark ids and scene-space points in renderer-neutral screen state","DOM nodes or canvas objects as authority",ADOPT,STABLE_PROJECT_CONTRACT,NO,,hazard implementation
D018,Official React/Solid/Vue Atom bindings,CONFIRMED,"Treat as integration evidence only, not renderer selection evidence","Choose framework because binding exists",ADOPT_AS_DECISION_RULE,UNSTABLE_EFFECT_API,NO,,architecture governance
