decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D01,UI state boundary,CONFIRMED,"Keep durable state, Effect workflow state, immutable screen snapshots, renderer-local scratch, and DOM effects distinct.",Single global store; DOM as state; component-owned durable state,ADOPT,Stable project architecture,no,none,R2.1/R2.3/R2.4/R2.8 verify package/runtime/storage/test placement.
D02,Reveal gate,OBSERVED,Reveal only after durable transaction completion or committed-record reconciliation by stable attempt ID.,Optimistic reveal; request-success reveal; in-memory state reveal,ADOPT,Product invariant,yes,Native IndexedDB transaction probe remains blocked,R2.4 owns durable IndexedDB details; implementation tests exact settlement and unknown outcome.
D03,Runtime root,CONFIRMED,Construct one long-lived ManagedRuntime for the app or bounded island and dispose it once; never construct Layers per event.,runPromise scattered at handlers; runtime per command,ADOPT,Stable Effect surface,yes,Installed Effect runtime probe blocked,R2.1 owns final runtime/topology; implementation adds compile/runtime fixture.
D04,Core mutable/event primitives,CONFIRMED,Use Ref/SynchronizedRef/PubSub/Stream only where their concurrency or lifecycle semantics match; ordinary snapshots stay TypeScript.,Ref per DOM property; PubSub per control; Stream for every click,ADOPT,Stable Effect surfaces,no,none,Implementation keeps services cohesive and view state immutable.
D05,Reactivity service,CONFIRMED,Use only as a narrow optional query/cache invalidation adapter after successful durable mutations.,Global application state; persistence replacement,PROTOTYPE_ONLY,Unstable Effect namespace,yes,No installed-package/runtime/bundle proof,R2.4/R2.5 and implementation measure an isolated adapter before adoption.
D06,Atom and registry,CONFIRMED,Adopt only for a concrete multi-consumer reactive projection/query need; one registry per explicit island/session boundary; isolate imports.,Universal app store; durable authority; reason to pick a framework,DEFER,Unstable RC cohort,yes,No installed Atom runtime or bundle closure,Renderer spike decides need; compile contract test required at every Effect update.
D07,Default renderer posture,OBSERVED,Use semantic direct DOM for static pages and bounded simple islands with centralized patching and explicit cleanup.,Framework everywhere; whole-region replacement,ADOPT_BASELINE,Web platform stable,yes,Native browser/IDB and production bundle rerun incomplete,R2.8 tests accessibility/leaks; implementation tracks migration triggers.
D08,Small declarative candidate,INFERRED,Run the same controller through lit-html 3.3.3 as the first declarative candidate.,Custom template replacement; Solid/React first,PROTOTYPE_ONLY,"Stable library coordinate, unexecuted here",yes,"Bun install, lit browser arm, native IDB, Vite closure blocked",R2.5 supplies bundle method/gates; rerun QUESTION-PLAYER-SPIKE-SPEC.md.
D09,Framework fallback,INFERRED,Evaluate Solid first only after direct/lit triggers show real keyed/lifecycle/fine-grained complexity.,React; Preact; Vue,DEFER,"Stable framework, official Atom binding in unstable RC cohort",yes,No matched Solid player or bundle measurement,Implementation spike only after trigger log documents need.
D10,React/Preact/Vue adoption,CONFIRMED,Do not adopt from current evidence; revisit only for an external ecosystem/team/component requirement.,Select by familiarity or binding availability,DEFER,Stable frameworks; bindings vary,yes,No product requirement or matched measurement,Architecture synthesis records as non-default alternatives.
D11,Focus/live-region effects,OBSERVED,"Represent semantic focus/announcement requests in screen output, execute after render, acknowledge without replacing the focused node.",Infer focus from phase; focus before replacement; component magic,ADOPT,Web platform stable,yes,Cross-browser native-origin matrix not run,R2.8 expands Chromium/Firefox/WebKit accessibility tests.
D12,High-frequency hazard interaction,CONFIRMED,"Keep pointer move, capture, pan/zoom scratch and layout measurements renderer-local; emit semantic marker commands on commit boundaries.",Effect/Atom update per pointer event; DOM as marker state,ADOPT,Stable architecture,yes,Hazard fixture not executed in this lane,R2.9 and implementation extend matched renderer spike with hazard scene.
D13,Bundle conclusion,BLOCKED,Keep renderer recommendation provisional; only compare Vite production manifest closures with identical feature sets.,Use package claims; use unbundled source bytes as final budget,BLOCKED,Coordinate-sensitive,yes,"No Bun, dependencies, bun.lock, Vite build or lit closure",R2.5 reconciles numeric budgets; rerun prepared Vite fixture.
D14,Native IndexedDB browser proof,BLOCKED,"Rerun success, rejection, abort, unknown outcome, reload, and disposal on real origins in Chromium/Firefox/WebKit.",Treat API-shaped shim as native proof,BLOCKED,Browser/runtime-sensitive,yes,Managed URLBlocklist and opaque about:blank origin,R2.4 owns transaction semantics; R2.8 owns browser matrix.
D15,No custom UI framework,OBSERVED,"Stop direct-DOM growth when generic diffing, dependency tracking, lifecycle, event framework, or accessibility primitives appear.",Continue building project-owned renderer infrastructure,ADOPT_GUARDRAIL,Project process,no,none,Code review uses ANTI-CUSTOM-FRAMEWORK.md and migration trigger log.
