source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
S01,project,R2.4 lane prompt,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/04-effect-v4-indexeddb-offline.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/04-effect-v4-indexeddb-offline.md,2026-08-21,"scope, required probes, deliverables",project controlling prompt
S02,project,Shared research contract,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-21,"evidence discipline, fixture/Bun rules, receipt schema",project controlling contract
S03,project,Product feature spec,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/FEATURE_SPEC.md,2026-08-21,"commit-before-reveal, local progress, offline packs, imports",maintained product contract
S04,project,First-pass IndexedDB/offline report,raw SHA-256 438ffeb53a4c95c21ed9a52cf8c3866b451f7b7951088fcc60b50fc842211d7c,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/raw/effect/07-effect-indexeddb-offline-content-packs/,https://github.com/mannyc2/nycustodianexam/tree/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/effect/07-effect-indexeddb-offline-content-packs,2026-08-21,retained transaction/pack/session/cross-tab invariants,provider recommendation superseded by R2.4
S05,Effect-TS,@effect/platform-browser package manifest,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/package.json,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/package.json,2026-08-21,"exact browser package version, peer relation, exports",release candidate
S06,Effect-TS,IndexedDb primitives,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/IndexedDb.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/IndexedDb.ts,2026-08-21,IDBFactory/IDBKeyRange service and layer,source-level evidence
S07,Effect-TS,IndexedDbDatabase,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/IndexedDbDatabase.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/IndexedDbDatabase.ts,2026-08-21,"versioned migration chain, blocked/open/upgrade errors, database layer",imports unstable Reactivity; runtime probe blocked
S08,Effect-TS,IndexedDbQueryBuilder,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/IndexedDbQueryBuilder.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/IndexedDbQueryBuilder.ts,2026-08-21,"schema-aware queries, indexes, withTransaction, interruption abort path",imports unstable Reactivity; runtime probe blocked
S09,Effect-TS,IndexedDbTable,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/IndexedDbTable.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/IndexedDbTable.ts,2026-08-21,typed schema/key/index/durability descriptors,default durability is relaxed
S10,Effect-TS,IndexedDbVersion,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/IndexedDbVersion.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/IndexedDbVersion.ts,2026-08-21,typed target schema versions and migration ordering,store/index creation remains explicit
S11,Effect-TS,BrowserPersistence,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/BrowserPersistence.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/BrowserPersistence.ts,2026-08-21,IndexedDB backing for unstable Persistence and transaction completion behavior,"generic K/V result cache, not authoritative domain DB"
S12,Effect-TS,BrowserKeyValueStore,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/browser/src/BrowserKeyValueStore.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/browser/src/BrowserKeyValueStore.ts,2026-08-21,simple IndexedDB K/V layer and abort-on-cancel implementation,uses unstable persistence KeyValueStore; semantically too weak for domain authority
S13,Effect-TS,Persistence,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/effect/src/unstable/persistence/Persistence.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/src/unstable/persistence/Persistence.ts,2026-08-21,purpose and scope of unstable persistence service,explicit unstable path
S14,Effect-TS,KeyValueStore,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/effect/src/unstable/persistence/KeyValueStore.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/src/unstable/persistence/KeyValueStore.ts,2026-08-21,lightweight string/binary K/V semantics,explicit unstable path
S15,idb,idb package,8.0.3,,package.json / README.md,https://github.com/jakearchibald/idb/tree/v8.0.3,2026-08-21,"thin native semantics, tx.done, blocked/blocking hooks, transaction lifetime guidance",external dependency; no Effect-native schema/error model
S16,Dexie,Dexie package,4.4.5,,package.json,https://github.com/dexie/Dexie.js/tree/v4.4.5,2026-08-21,maintained IndexedDB abstraction comparison,larger independent abstraction/runtime model
S17,Bun,Bun tag,bun-v1.4.0,34cbb9a40b4bd1bd767d134a7065e66c2432a676,package.json,https://github.com/oven-sh/bun/tree/bun-v1.4.0,2026-08-21,current research workspace/runtime coordinate,binary unavailable in executor
S18,W3C,Indexed Database API 3.0,living/current recommendation,,transaction algorithms,https://www.w3.org/TR/IndexedDB-3/,2026-08-21,"transaction scope, active/inactive state, abort/commit/complete, durability",browser implementations remain authoritative
S19,W3C,Web Locks API,current specification,,lock manager algorithms,https://www.w3.org/TR/web-locks/,2026-08-21,cooperative cross-context locks and lifecycle,"coordination only, not durable authority"
S20,WHATWG,HTML — BroadcastChannel,living standard,,Broadcasting to other browsing contexts,https://html.spec.whatwg.org/multipage/web-messaging.html#broadcasting-to-other-browsing-contexts,2026-08-21,same-storage-key advisory messaging,messages are not durable
S21,W3C,Service Workers,current specification,,worker lifetime and events,https://www.w3.org/TR/service-workers/,2026-08-21,event-scoped worker lifetime and CacheStorage context,worker memory cannot be authority
S22,WHATWG,Storage Standard,living standard,,StorageManager,https://storage.spec.whatwg.org/,2026-08-21,estimate/persist/persisted and quota model,estimates and grants are UA-defined
