decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
"D001","Use separate runtime roots for browser page, Bun CLI, Service Worker, workerd and tests","CONFIRMED/INFERRED","Keep native lifetime owners and attach Effect per runtime","One universal Platform/runtime root","ADOPT_ARCHITECTURE","stable core; runtime adapters vary","yes","exact installable v4 cohort; runtime smoke tests","architecture synthesis"
"D002","Browser interactive runtime","CONFIRMED/INFERRED","One BrowserRuntime.runMain root per interactive application/island; compose Layers once","scattered runPromise/runFork; per-handler Layer construction","ADOPT_ARCHITECTURE","adapter RC","yes","browser smoke/lifecycle test","UI/runtime implementation"
"D003","Bun compiler runtime","CONFIRMED/INFERRED","BunRuntime.runMain with focused BunFileSystem/BunPath/BunCrypto layers","BunServices.layer everywhere; plain Promise orchestration for effectful compiler","ADOPT_ARCHITECTURE","stable core services via RC adapter","yes","coherent published cohort; Bun unavailable in lane","compiler/workspace lane"
"D004","BunServices aggregate layer","CONFIRMED/INFERRED","Do not provide by default because it includes unstable child-process authority","Use aggregate layer for convenience","REJECT_DEFAULT","mixed stable + unstable process","no for rejection; yes if later adopted","none now","compiler implementation"
"D005","Authoritative browser persistence provider","CONFIRMED/INFERRED","Spike current typed @effect/platform-browser IndexedDb* behind ProgressStore","raw IndexedDB wrapper; idb library; Dexie; generic persistence","EVIDENCE_GATED_PREFERRED_CANDIDATE","public browser modules with unstable Reactivity dependency","yes","real-browser tx completion/abort/interruption/migration/durability; bundle cost","IndexedDB/offline lane and player spike"
"D006","ProgressStore public contract","PROJECT_CONFIRMED/INFERRED","Keep domain-shaped atomic operations; never expose query builder to UI/use cases","generic KeyValueStore/Persistence as public authority","ADOPT_ARCHITECTURE","project-owned stable contract","yes","final operation/schema design belongs core/offline lanes","core/offline synthesis"
"D007","Generic BrowserPersistence/KeyValueStore for progress","CONFIRMED/INFERRED","Reject as authoritative progress store; allow only generic preferences/cache if justified","Use unstable persistence as universal browser DB","REJECT","unstable persistence","no","none","offline lane"
"D008","Browser crypto","CONFIRMED/INFERRED","Use stable effect/Crypto with BrowserCrypto layer in Effect workflows needing digest/secure randomness/test substitution","direct crypto.subtle everywhere; duplicate project Crypto service","ADOPT_WHEN_NEEDED","stable core service; RC adapter","yes","cohort install/smoke test","browser/compiler implementation"
"D009","Bun filesystem/path/crypto","CONFIRMED/INFERRED","Use focused official stable services in compiler","native node:/Bun APIs throughout compiler; aggregate BunServices","ADOPT_ARCHITECTURE","stable core services; RC adapters","yes","Bun install/smoke test","compiler/workspace lane"
"D010","Bun.build and Bun-specific tooling","CONFIRMED/INFERRED","Keep Bun-native; wrap only meaningful build/tool operation behind project service","Force through generic FileSystem/Platform abstraction","ADOPT_ARCHITECTURE","Bun native","yes if used","actual build pipeline decision","bundling/workspace lane"
"D011","HTTP client in browser/Bun","CONFIRMED/INFERRED","Use native fetch behind narrow transport by default; isolate unstable FetchHttpClient only when its features justify risk","Global Effect HttpClient dependency; raw fetch scattered through application","DEFER_UNSTABLE_ADOPTION","unstable HTTP","yes if adopted","endpoint/transport complexity; bundle measurement","network/bundling implementation"
"D012","Cloudflare runtime adapter","CONFIRMED/INFERRED","Use native module fetch(request, env, ctx) + Effect core/request-scoped services","Install Bun/Node adapter in workerd; invent Cloudflare Platform package","ADOPT_ARCHITECTURE","native Cloudflare + stable Effect core","yes","workerd runtime probe","Cloudflare implementation"
"D013","Cloudflare Effect HTTP","CONFIRMED/INFERRED","Default to native Fetch for tiny corrections endpoint; optionally isolate HttpEffect/HttpRouter if API grows","Adopt HttpApi immediately; no Effect server logic at all","DEFER_UNSTABLE_ADOPTION","effect/unstable/http","yes","Wrangler/workerd Request.signal + compatibility-date/cancellation tests; API complexity","server/API implementation"
"D014","Cloudflare HttpApi","CONFIRMED/INFERRED","Adopt only if multiple endpoints/contracts/OpenAPI/client generation earn migration cost","Use for one corrections endpoint","DEFER","effect/unstable/httpapi","yes","concrete API growth and runtime probe","future backend lane"
