decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D01,primary IndexedDB provider,SOURCE-CONFIRMED,Use @effect/platform-browser 4.0.0-rc.111 IndexedDbDatabase/QueryBuilder behind private AppDatabase,idb 8.0.3; thin native; Dexie 4.4.5,CONDITIONAL-ADOPT,release candidate; internal unstable Reactivity,yes,real-browser provider contract and Bun fixture,R2.4 -> implementation/bundling lanes
D02,physical database topology,CONFIRMED+INFERRED,One physical origin database spanning consistency boundaries,one DB per domain service,ADOPT,platform stable,yes,physical naming/schema may evolve,implementation
D03,public persistence API,INFERRED,Expose cohesive business services; keep raw transaction/provider private,public CRUD repos with caller-composed transactions,ADOPT,project-owned,yes,none,implementation
D04,attempt history authority,PROJECT-CONFIRMED,Append-only attemptEvents are authority; projections rebuildable,mutable progress-only state,ADOPT,project-owned,yes,browser commit tests,implementation/test
D05,answer commit,PROJECT-CONFIRMED,attempt + projection + session checkpoint in one strict transaction; reveal only after complete,eventual save after reveal,ADOPT,project-owned + IndexedDB,yes,browser failure/race tests,implementation/test
D06,pack update,CONFIRMED+INFERRED,network stage/validate outside tx; short atomic active-generation flip,bulk copy during activation,ADOPT,project-owned,yes,browser activation/crash tests,implementation/test
D07,session update behavior,PROJECT-CONFIRMED,pin exact profile/pack/content generation for session lifetime,hot-swap active session,ADOPT,project-owned,yes,browser pinning test,implementation/test
D08,cross-tab messaging,SPEC-CONFIRMED,BroadcastChannel is advisory invalidation only,message bus as authority,ADOPT,web platform,yes,real multi-tab browser test,implementation/test
D09,cross-tab locks,SPEC-CONFIRMED,Web Locks suppress duplicate long jobs; IDB constraints preserve correctness,Web Lock per answer / lock as commit proof,ADOPT,web platform,yes,real multi-tab browser test,implementation/test
D10,service worker,SPEC-CONFIRMED+INFERRED,small native event-scoped SW; no learner-state authority,long-lived Effect worker runtime as authority,ADOPT,web platform,yes,offline/cache lifecycle tests,PWA lane
D11,Effect BrowserPersistence/KVS,SOURCE-CONFIRMED,limit to utility persistence/small K/V if used,authoritative attempts/sessions/packs,DO-NOT-USE-FOR-DOMAIN,unstable persistence modules,yes,none for current architecture,implementation
D12,idb dependency,SOURCE-CONFIRMED,reserve as fallback; do not add now,add idb by default,SUPERSEDE-FIRST-PASS,stable 8.0.3,yes,adopt only if Effect provider fails gate,dependency decision
D13,Dexie dependency,SOURCE-CONFIRMED,do not add now,Dexie 4.4.5,DEFER,stable 4.4.5,yes,revisit if live-query/query complexity becomes real,future architecture
D14,large migrations,SPEC-CONFIRMED+INFERRED,versionchange for physical shape; durable post-open jobs for large logical rewrites,one huge upgrade transaction,ADOPT,project-owned,yes,crash/resume tests,implementation/test
