record_id,record_type,raw_report_term,current_taxonomy_term,change_status,decisive_feature,audit_effect,evidence_status
PAIR-01,confusable_pair,adjustable wrench vs pipe wrench,pipe wrench vs adjustable wrench,retained/reordered,smooth parallel jaws + worm vs serrated jaws,no POC conclusion without geometry,CONFIRMED
PAIR-02,confusable_pair,cup plunger vs flange plunger,cup plunger vs flange plunger,retained,plain cup vs extended flange,no POC conclusion without geometry,CONFIRMED
PAIR-03,confusable_pair,claw hammer vs ball-peen hammer,claw hammer vs ball-peen hammer,retained,claw vs rounded peen,old inventory row unavailable,CONFIRMED
PAIR-04,confusable_pair,stepladder vs extension ladder,stepladder vs extension ladder,retained,self-supporting A-frame vs overlapping rails,old inventory row unavailable,CONFIRMED
PAIR-05,confusable_pair,floor machine vs burnisher,low-speed rotary floor machine vs high-speed burnisher,retained/renamed,current taxonomy rejects invented universal silhouette,requires new family evidence,CONFIRMED
PAIR-06,confusable_pair,putty knife vs scraper,putty knife vs paint scraper,retained/refined,specific paint-scraper concept,old inventory row unavailable,CONFIRMED
PAIR-07,confusable_pair,push broom vs floor brush,push broom vs deck brush,changed term,"deck-brush scrubbing geometry, not generic floor brush",regenerate comparison asset,CONFIRMED
PAIR-08,confusable_pair,flat-head vs Phillips screwdriver,,raw-narrative only / not current registry,tip geometry,do not carry old pair registry forward,CONFIRMED
PAIR-09,confusable_pair,adjustable vs combination/open-end wrench,,raw-narrative only / not current registry,fixed vs adjustable opening,may remain taxonomy confusion text but not registered pair,CONFIRMED
PAIR-10,confusable_pair,tubing/pipe cutter vs hacksaw,,raw-narrative only / concepts not current pair,cutting mechanism,cannot assume current asset inventory,CONFIRMED
PAIR-11,confusable_pair,twist bit vs masonry bit,,raw-narrative only / concepts absent from current taxonomy,bit tip/flute,remove from current inventory unless taxonomy changes,CONFIRMED
PAIR-12,confusable_pair,twist bit vs spade bit,,raw-narrative only / concepts absent from current taxonomy,bit geometry,remove from current inventory unless taxonomy changes,CONFIRMED
PAIR-13,confusable_pair,staple gun vs caulking gun,,raw-narrative only / caulking gun absent,body and plunger geometry,do not carry forward,CONFIRMED
PAIR-14,confusable_pair,drain snake vs plunger,,raw-narrative only / not current registry,cable/drum vs cup,do not carry forward as registered pair,CONFIRMED
PAIR-15,confusable_pair,,crosscut saw vs rip saw,current-only,tooth pattern only when accurately visible,new inventory work required,CONFIRMED
PAIR-16,confusable_pair,,dust mop vs wet mop,current-only,frame/head form and material,new inventory work required,CONFIRMED
PAIR-17,confusable_pair,,floor squeegee vs window squeegee,current-only,scale/head/handle geometry,new inventory work required,CONFIRMED
PAIR-18,confusable_pair,,dry/upright vacuum vs carpet extractor,current-only,machine function cannot rely on one universal silhouette,new evidence required,CONFIRMED
PAIR-19,confusable_pair,,slip-joint pliers vs tongue-and-groove pliers,current-only,pivot slot/jaw geometry,new inventory work required,CONFIRMED
PAIR-20,confusable_pair,,needle-nose pliers vs diagonal cutters,current-only,long gripping jaws vs cutting edges,new inventory work required,CONFIRMED
PAIR-21,confusable_pair,,C-clamp vs locking pliers/bar clamp,current-only/context-dependent,screw frame vs locking linkage/bar,new inventory work required,CONFIRMED
POC-ADJ,poc_invariant,smooth parallel jaw faces; visible worm; no serrations,smooth parallel adjustable jaws and worm gear; no pipe-wrench tooth profile,aligned at narrative level,actual geometry absent,evidence-blocked,BLOCKED
POC-PIPE,poc_invariant,serrated hook/heel jaws; open throat,visible serrated angled jaws; not smooth adjustable jaws,aligned at narrative level,actual geometry absent,evidence-blocked,BLOCKED
POC-CUP,poc_invariant,plain rim; no protruding flange,simple cup without toilet flange,aligned at narrative level,actual geometry absent,evidence-blocked,BLOCKED
POC-FLANGE,poc_invariant,lower protruding flange visible,extended flange visible beneath cup,aligned at narrative level,actual geometry absent,evidence-blocked,BLOCKED
