question_id,question,status,current_evidence,resolution_probe,blocking_for,owner_or_handoff
Q-01,What exact coordinated Effect v4 cohort resolves with current Bun?,BLOCKED,source rc.111; observed Bun adapter registry lag at rc.110,"On connected host run Bun 1.4.0 install for exact versions, commit bun.lock, record package manifests",production dependency pin and all Effect execution probes,workspace/build lane
Q-02,What package-local AGENTS guidance ships in the selected Effect package?,BLOCKED,upstream source/docs reviewed; installed package unavailable,Read node_modules/effect/AGENTS.md and linked package guidance completely after install,code-level adoption confidence,first connected implementation lane
Q-03,"Does BrowserHttpClient abort, typed status filtering and Schema decode behave as expected in the selected browser bundle?",BLOCKED,source confirms AbortController and typed APIs; native fetch abort observed,Run probes/browser-http-client.ts in real Chromium against local typed/slow endpoints,BrowserHttpClient adoption,browser integration lane
Q-04,"Do first-party Effect IndexedDB transactions, migrations and interruption preserve commit-before-reveal under real Chromium?",BLOCKED,source transaction/migration code confirmed; native commit/abort observed,Run probes/browser-indexeddb.ts plus failure/interruption races and reload reconciliation in Chromium,IndexedDb* provider adoption,storage lane
Q-05,Does BunRuntime with focused filesystem/path layers execute under Bun 1.4.0 and the coherent Effect cohort?,BLOCKED,source-confirmed composition only,"Run probes/bun-runtime.ts, record Bun version/revision, stdout and filesystem cleanup",content compiler platform choice,compiler lane
Q-06,What are the real browser bundle sizes and forbidden-runtime imports?,BLOCKED,no installed Effect cohort/bundler,"Produce Bun/Vite metafiles and gzip/brotli sizes for native, BrowserHttpClient and IndexedDb entries; scan for bun/node-shared imports",browser adoption gate,build lane
Q-07,"Does the selected handler execute under actual workerd with bindings, streams and errors matching source expectations?",BLOCKED,Cloudflare-compatible TypeScript shape executed under Node only,Run workerd 1.20260821.1 or current pinned release through Workers Vitest with the committed worker fixture,server production recommendation validation,Cloudflare/server lane
Q-08,Does incoming Request.signal notify client disconnect for the chosen Cloudflare compatibility date/flag?,BLOCKED,Cloudflare docs require compatibility behavior; browser abort observed only,"Enable documented request-signal flag/date, disconnect a real client, assert signal and Effect fiber interruption",abort observability claims,Cloudflare/server lane
Q-09,What are isolate cold-start and reused-runtime costs for native vs HttpRouter vs HttpApi?,UNKNOWN,source confirms lazy handler cache; no workerd measurement,Benchmark cold/warm requests and module/layer construction counters under workerd,revisiting native fetch recommendation,future server complexity review
Q-10,How much migration risk does IndexedDbDatabase's unstable Reactivity dependency create?,UNKNOWN,"public path stable, internal dependency explicit",Track v4 release notes/API diff and isolate provider behind project stores,long-term provider lock-in decision,storage maintenance
Q-11,"Which browser support floor needs compression, Web Locks and StorageManager fallbacks?",UNKNOWN,all observed in Chromium 144 only,Run maintained browser support matrix and accessibility/offline scenarios for target browsers,progressive enhancement/fallback policy,browser QA
Q-12,Is the correction backend justified at initial launch?,PRODUCT DECISION,feature spec permits static export or small backend,Decide launch submission workflow and moderation capacity,deploying any Worker,product owner
Q-13,Is optional analytics worth a backend/runtime at all?,DEFERRED,explicitly optional and privacy-bounded,"Define decision need, minimal event schema, retention and privacy review",analytics endpoint,product/privacy review
