"order","gate_id","invariant","example_code","independent","publication_blocking"
"01","identity","IDs aliases and (kind,id,revision) identities are unique before map construction","IDENTITY.DUPLICATE_ID","yes","yes"
"02","references","Every reference resolves uniquely to the expected kind","REFERENCE.CLAIM_MISSING","yes","yes"
"03","source-integrity","Source revision and line table exist; range and selected-text digest match","SOURCE.SPAN_DIGEST_MISMATCH","yes","yes"
"04","provenance","Verified facts and substantive explanation blocks close claim to exact source lines","PROVENANCE.VERIFIED_WITHOUT_SPAN","yes","yes"
"05","conflicts","Conflicting facts retain at least two independently supported alternatives; resolution retains history","CONFLICT.ALTERNATIVE_UNSUPPORTED","yes","yes"
"06","question-coherence","Key is in unique options; every option has a rationale; claims usable; unresolved fact cannot decide key","QUESTION.RATIONALE_MISSING","yes","yes"
"07","taxonomy","Concept family/domain/confusion links resolve and directional pairs are legal","TAXONOMY.CONFUSION_DIRECTION_INVALID","yes","yes"
"08","audience-test-plan","Entry graph cannot reach high-level-only concept and item/pack/profile compatibility intersects","AUDIENCE.HIGH_LEVEL_DEPENDENCY","yes","yes"
"09","visual-accessibility","Neutral/full descriptions and nonvisual equivalent exist for scored visual content","ACCESSIBILITY.NONVISUAL_EQUIVALENT_MISSING","yes","yes"
"10","geometry-scene","Geometry views and hazard target/decoy zones are valid; every authored feedback path exists","SCENE.DECOY_FEEDBACK_MISSING","yes","yes"
"11","rights","Current basis digest has passed rights review for every scored asset","REVIEW.RIGHTS_MISSING_OR_STALE","yes","yes"
"12","security-leak","Pre-commit graph and emitted names/metadata contain no key/full description/rationale/answer signal","SECURITY.PRECOMMIT_LEAK","partly human","yes"
"13","translation","Translation subject/source basis is current and exact translated basis has passed review","REVIEW.TRANSLATION_MISSING_OR_STALE","yes","yes"
"14","mutable-facts","Protected evergreen templates use fact/profile references rather than literal administration values","FACT.MUTABLE_LITERAL","yes","yes"
"15","historical-immutability","Published tuple never maps to new bytes; revision progression and stable URLs are legal","HISTORY.IMMUTABLE_TUPLE_CHANGED","yes","yes"
"16","generated-counts","Manifest counts equal derived graph counts and are never author-controlled","GENERATED.COUNT_MISMATCH","yes","yes"
"17","pack-closure","Every object/digest/size/locale/profile dependency exists and compatibility is closed","PACK.OBJECT_MISSING","yes","yes"
"18","publication-closure","Every required review and gate version passes for exact candidate root","PUBLICATION.CLOSURE_INCOMPLETE","yes","yes"
