source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
S01,project authority,Repository AGENTS instructions,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,AGENTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/AGENTS.md,2026-08-21T22:33:58Z,Repository rules and security constraints,"Project authority, not upstream API evidence"
S02,project authority,Architecture constraints,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-21T22:33:58Z,"Standards-first HTML, Effect boundaries, durable commit-before-reveal",Product direction can be refined only by maintained authority
S03,project authority,Feature specification,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/FEATURE_SPEC.md,2026-08-21T22:33:58Z,"Question player, hazard player, simulation, offline, accessibility, page state",Implementation details remain future work
S04,project authority,Landscape review,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,docs/LANDSCAPE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/docs/LANDSCAPE.md,2026-08-21T22:33:58Z,Accessibility and product landscape constraints,Landscape evidence is not renderer runtime proof
S05,project authority,Effect v4 and Bun research doctrine,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,2026-08-21T22:33:58Z,"Current-v4, installed-guidance, Bun, probe, and evidence discipline",Installed guidance could not be completed in this runner
S06,project authority,Effect skill adaptation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/prompt-curation/EFFECT-SKILL-ADAPTATION.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/prompt-curation/EFFECT-SKILL-ADAPTATION.md,2026-08-21T22:33:58Z,"Effect-native service, Layer, Schema, error, runtime, and Scope posture","Project adaptation, not package contract"
S07,normalized project research,Initial-pass normalization,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/NORMALIZATION.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/NORMALIZATION.md,2026-08-21T22:33:58Z,Reusable renderer-neutral and lifecycle findings plus superseded v3 assumptions,Exact E01/E03 raw reports are absent
S08,normalized project research,Reusable findings,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/REUSABLE-FINDINGS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/REUSABLE-FINDINGS.md,2026-08-21T22:33:58Z,Reusable lifecycle and boundary principles,Must not override current upstream source
S09,normalized project research,Redo required,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/REDO-REQUIRED.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/REDO-REQUIRED.md,2026-08-21T22:33:58Z,Identifies stale v3 API and missing runtime/bundle evidence,"Problem statement, not completion evidence"
S10,preliminary project evidence,Closed unmerged PR #6,PR 6,,research/v2-effect-ui/**,https://github.com/mannyc2/nycustodianexam/pull/6,2026-08-21T22:33:58Z,Preliminary state/renderer arguments reused only after independent validation,"Different base; no Bun, native browser, native IndexedDB, or bundle proof; not independent corroboration"
