decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D001,Use exact latest published Effect v4 line for R2.5,CONFIRMED,Pin effect/platform cohort to 4.0.0-rc.111 for this measurement lane; do not substitute v3.,Wait for a later v4 RC/final only if lane is explicitly relaunched.,measurement-only,release candidate,yes,Runtime install/build blocked.,Rerun from same source SHA only if coordinates are intentionally restamped.
D002,Keep crawlable static/reference acquisition page outside Effect graph,CORROBORATED,Preserve an Effect-free static entrypoint and verify its built closure contains no Effect modules.,Load application engine on every page.,provisional topology,stable web/Vite topology,yes,Vite build blocked.,Rerun P01 and inspect manifest/module graph.
D003,Use Bun workspaces/catalogs/isolated linker in fixture,CONFIRMED,"Use private workspace root, catalog pins, workspace:* internal edges, isolated linker, generated bun.lock and frozen install on rerun.",Hoisted install or pnpm-derived fixture.,fixture,stable Bun 1.4,yes,Bun binary and registry unavailable; lock not generated.,"Generate bun.lock with Bun 1.4.0, then frozen reinstall."
D004,Current browser IndexedDB probe,CONFIRMED,Measure @effect/platform-browser/IndexedDb in current v4 before deciding persistence-layer cost.,Reuse v3 platform-browser cost or avoid platform package without measuring.,research,v4 RC,yes,No install/build.,Implement P05 after installed AGENTS gate.
D005,Effect Atom/reactivity production adoption,CONFIRMED,Treat as unstable measurement-only surface; make no production adoption recommendation from this lane.,Promote unstable Atom to production based on existence alone.,not adopted,unstable,yes,No bundle/runtime measurement.,Measure P07; stability decision belongs to UI/state lane.
D006,BrowserHttpClient in browser base graph,CORROBORATED,Measure separately; current wrapper reaches unstable HTTP modules; do not assume it is a small browser primitive.,Include by default in every interactive route.,not adopted,v4 RC with unstable HTTP imports,yes,No bundle measurement.,Measure P08 and route closure.
D007,Declarative renderer candidate,CONFIRMED,Use Preact 10.29.8 only as the small-renderer comparison and hold UI choice until equal-behavior P10/P11 measurements.,Assume React or Preact cost from marketing/package size.,comparison only,stable renderer,yes,Question-player builds blocked.,Measure equal domain/UI behavior.
D008,Manual Effect vendor chunk,UNKNOWN,Do not create/preload a manual Effect vendor chunk without current route-closure evidence.,Force vendor chunk from first-pass results.,not adopted,n/a,yes,No manifest/chunk graph.,Compare natural split vs manual chunk in rerun.
D009,Minifier selection,UNKNOWN,Compare Vite default Oxc and Terser 5.50.0 on identical outputs before choosing for size.,Reuse v3 esbuild/Terser conclusion.,not adopted,stable tools,yes,No builds.,Run MINIFIER-COMPARISON matrix.
D010,Numeric JS budgets,BLOCKED,Publish no R2.5 numeric budgets until current-v4 measurements exist.,Reuse first-pass v3 thresholds.,not adopted,n/a,yes,All byte measurements blocked.,Populate budget file only from measured route closures.
D011,Effect inside service worker,UNKNOWN,Keep native service-worker baseline and compare equivalent Effect implementation; default decision remains open.,Assume Effect is acceptable or unacceptable without current bytes.,not adopted,v4 RC,yes,P12/P13 builds blocked.,Measure both worker bundles.
D012,Optional Worker Effect HTTP/HttpApi,UNKNOWN,Keep unstable HTTP/HttpApi out of maintained Worker architecture until measured and the architecture lane confirms need.,Adopt unstable server APIs solely because they exist.,not adopted,unstable,yes,P09 blocked.,Coordinate with Worker/API research lane after current measurement.
