source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
P001,PRIMARY_PROJECT,Immutable product source branch,agent/chat-corpus-reconciliation,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,branch head,https://github.com/mannyc2/nycustodianexam/tree/8b0d26245c1d78fb0be4e79f874a7d8872056ceb,2026-08-21T19:15:43Z,immutable base and corpus coordinate,branch may move after task start; research remains pinned
P002,PRIMARY_PROJECT,Feature specification,immutable base,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/8b0d26245c1d78fb0be4e79f874a7d8872056ceb/product/FEATURE_SPEC.md,2026-08-21T19:20:00Z,question and hazard player behavior; accessibility; durable reveal invariant,"product contract, not implementation"
P003,PRIMARY_PROJECT,Architecture constraints,immutable base,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/8b0d26245c1d78fb0be4e79f874a7d8872056ceb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-21T19:20:00Z,renderer neutrality; semantic HTML; DOM-free application tests; Effect boundary,"product contract, not implementation"
P004,TASK_CONTRACT,Shared research contract,research/curate-effect-v4-bun-prompts,,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/research/curate-effect-v4-bun-prompts/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-21T19:17:00Z,required files; evidence labels; receipts; source and probe discipline,absent from immutable base; source placeholder unstamped
P005,TASK_CONTRACT,Effect v4 and Bun research doctrine,research/curate-effect-v4-bun-prompts,,research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,https://github.com/mannyc2/nycustodianexam/blob/research/curate-effect-v4-bun-prompts/research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,2026-08-21T19:20:00Z,current-source and installed-fixture research method,absent from immutable base; installed fixture blocked
P006,TASK_CONTRACT,Effect skill adaptation,research/curate-effect-v4-bun-prompts,,research/prompt-curation/EFFECT-SKILL-ADAPTATION.md,https://github.com/mannyc2/nycustodianexam/blob/research/curate-effect-v4-bun-prompts/research/prompt-curation/EFFECT-SKILL-ADAPTATION.md,2026-08-21T19:20:00Z,Effect coding and source-inspection conventions,absent from immutable base
P007,PRIMARY_PROJECT,Initial-pass normalization,immutable base,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,research/initial-pass/NORMALIZATION.md,https://github.com/mannyc2/nycustodianexam/blob/8b0d26245c1d78fb0be4e79f874a7d8872056ceb/research/initial-pass/NORMALIZATION.md,2026-08-21T19:21:00Z,prior UI lane themes and normalization,summary evidence only
P008,PRIMARY_PROJECT,Reusable findings,immutable base,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,research/initial-pass/REUSABLE-FINDINGS.md,https://github.com/mannyc2/nycustodianexam/blob/8b0d26245c1d78fb0be4e79f874a7d8872056ceb/research/initial-pass/REUSABLE-FINDINGS.md,2026-08-21T19:21:00Z,renderer-neutral state and Effect boundary carry-forward,"normalized summary, not current v4 proof"
P009,PRIMARY_PROJECT,Raw Effect report index,immutable base,8b0d26245c1d78fb0be4e79f874a7d8872056ceb,research/initial-pass/RAW-EFFECT-REPORTS.md,https://github.com/mannyc2/nycustodianexam/blob/8b0d26245c1d78fb0be4e79f874a7d8872056ceb/research/initial-pass/RAW-EFFECT-REPORTS.md,2026-08-21T19:22:00Z,names E01 and E03 prior inputs,index names files that are absent from immutable tree
P010,BLOCKED_INPUT,E01 Effect state and UI rendering v3 baseline,named prior input,,01-effect-state-ui-rendering-v3-baseline.md,,2026-08-21T19:24:00Z,intended prior raw evidence,not present in Git; not recovered from available library
