"id","decision","evidence_status","recommendation","adoption_status","stability","implementation_measurement","blocking_item","handoff"
"D01","Effect cohort","R2.6 fixture observed on official rc.111; R2.1 and R2.7 support cohort policy","Pin synchronized effect 4.0.0-rc.111 for the first lock and recheck once at scaffold","accept provisionally","release candidate","Clean Bun 1.4.0 install; cohort and source-guidance checks","Exact first scaffold lock","version/workspace gate"
"D02","Bun and workspace discipline","R2.7 source-confirmed; full workspace probe blocked","Pin Bun 1.4.0; private root; catalogs; isolated linker; workspace:*; committed bun.lock; frozen CI","implementation spike","current release but unexecuted here","Install/filter/script/phantom-dependency and clean-lock checks","Bun 1.4.0 execution","version/workspace gate"
"D03","Initial workspace graph","R2.1 and R2.7 proposed four workspaces but R2.1 contains a merge falsifier","Start with apps/site, apps/content-compiler, and packages/content; keep study inside site until a second consumer or ownership boundary appears","accept provisionally","consumer graph may change","Import/consumer graph after first slice","None for scaffold","workspace scaffold"
"D04","Service and Layer shape","R2.1, R2.3, and R2.6 source-confirmed","Keep deterministic policies pure; use services only for cohesive I/O, lifecycle, or substitutable host capabilities; compose one root per host","accept now","stable architectural law","Service-count and dependency review after slice","None","all implementation work"
"D05","Runtime roots","R2.1-R2.3 source-confirmed; exact package lifecycle execution incomplete","One browser ManagedRuntime; BunRuntime.runMain for compiler; native service-worker lifecycle; no Worker root","accept provisionally","host APIs and RC surface","Lifecycle, interruption, scope, and shutdown probes","Current package execution","runtime scaffold"
"D06","Failure and diagnostic model","R2.1, R2.4, and R2.6 observed/source-confirmed","Schema tagged errors for expected failures; author diagnostics accumulated and sorted as data; provider translation once","accept now","stable","Failure injection and redaction review","None","compiler and runtime implementation"
"D07","Content compiler architecture","R2.6 current rc.111 fixture observed; four tests and repeat hashes pass","Schema decode/migrate then duplicate-preserving registry then relational gates then canonical outputs then manifest-last promotion","accept now","canonical profile and parser unresolved","JSONC location adapter and canonical JSON profile spikes","Production implementation details","content compiler spine"
"D08","IndexedDB provider","R2.4 contract source-confirmed; first-party provider not browser-executed","Keep project-owned contracts; compare current first-party Effect provider with idb 8.0.3 fallback without weakening transaction semantics","implementation spike","provider and browser sensitive","Chromium, Firefox, WebKit, migration, failure, lifecycle, and bundle contract","Provider execution","persistence spike"
"D09","Attempt commitment","Maintained product contract plus R2.2, R2.4, and R2.8","One strict transaction writes event, projections, and session checkpoint; reveal only after native completion or same-ID reconciliation","accept now","stable product invariant","Abort, quota, race, crash, and uncertain-result tests","None","vertical slice"
"D10","Pack activation and cross-tab behavior","R2.4 source-confirmed; browser suite blocked","Stage and verify outside transactions; activate by short generation flip; BroadcastChannel is advisory; Web Locks only suppress long duplicate jobs","accept now","host behavior must be tested","Crash, quota, two-tab, version-pin, and rollback tests","Real-browser proof","offline pack path"
"D11","Service-worker boundary","R2.3 and R2.4 source-confirmed; native APIs observed","Native service worker owns HTTP-byte caching; page and IndexedDB own pack and learner truth","accept now","service-worker lifecycle sensitive","Termination, update, eviction, and offline reload tests","Real-browser proof","offline pack path"
"D12","UI renderer","R2.2 direct-DOM controller observed with shim; lit/Vite execution blocked","Static semantic HTML plus lazy disciplined direct DOM and renderer-neutral commands; no Atom/reactivity in first slice","accept provisionally","complexity threshold","Matched lit-html spike only if named migration triggers appear","First-slice complexity evidence","player slice"
"D13","UI state ownership","R2.2 source-confirmed","Keep five state owners distinct; keep high-frequency hazard scratch state renderer-local","accept now","stable until hazard implementation","Ownership review and hazard stress tests","None","player and hazard implementation"
"D14","Browser build and delivery","R2.5 topology only; R2.7 source-confirmed; current bundle execution missing","Vite plus Cloudflare Static Assets; zero-Effect static-route closure; natural splitting; no manual vendor chunk","accept provisionally","versions and bytes unmeasured","Production manifest closures and raw/gzip-9/Brotli-11 measurements","R2.5 measurement gap","first vertical slice"
"D15","Test responsibility split","R2.7 and R2.8 source-confirmed; representative executions blocked","Bun test for pure/Bun host, @effect/vitest for Effect, Playwright real browsers for Web semantics, manual assistive-technology matrix","accept now","runner coordinates rechecked at scaffold","Execute three-browser and manual matrix","Environment availability","CI and release gates"
"D16","Observability and privacy","R2.8 source-confirmed","Local diagnostics by default; network telemetry only first-party, consented, allowlisted, redacted, and bounded","accept now","product policy may narrow further","Event-schema and retention review","Maintainer product decision for any telemetry","release hardening"
"D17","Backend Worker","No endpoint currently requires a backend","Do not create apps/worker; if corrections are later authorized, use native fetch boundary and a narrow Effect use case","defer","requirement-dependent","workerd, abuse, idempotency, privacy, and cold/warm measurements when authorized","Endpoint authorization","future corrections feature"
"D18","Visual production","Maintainer direction supports Codex-native generation; R2.9 semantic contracts exist; R2.10 assets remain evidence-blocked","Keep generation outside runtime; style-match only public released samples; accept reviewed immutable final bytes after a focused fidelity pilot","implementation/content pilot after authority review","model output and legal/editorial review sensitive","Native dimensions, one-vs-sheet consistency, obscure-tool fidelity, phone/print, mechanical/content, rights, accessibility, and leak review","Separate maintained-authority reconciliation","visual production lane"
