probe_id,build_id,chunk_id,path,entry_kind,raw_bytes,gzip9_bytes,brotli11_bytes,sourcemap_bytes,sha256,status,notes
P01,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P02,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P03,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P04,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P05,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P06,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P07,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P08,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P09,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P10,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P11,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P12,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
P13,NOT_RUN,,,,,,,,,BLOCKED,No Vite output; Bun/install gate failed.
