option_id,status,workspace,responsibility,runtime,public_api,direct_dependencies,prohibited_dependencies,consumers,why_package_or_app,imports_effect_at_runtime,uses_bun_apis
A,recommended,apps/site,Static generation integration interactive browser DOM boundary browser/SW implementations,browser service worker build integration,page/bootstrap and private host entrypoints,packages/content; packages/study; effect,Bun-only APIs in browser modules; compiler internals; Worker code,deployed site and tests,Executable deployment and host ownership boundary,yes,build scripts only
A,recommended,apps/content-compiler,Validate source corpus and emit immutable packs/manifests,Bun,CLI and generated artifacts,packages/content; effect; platform-bun,DOM IndexedDB renderer site bootstrap,build pipeline,Finite executable with Bun filesystem/process ownership,yes,yes
A,recommended,packages/content,Content/profile schemas ids compatibility and pure rules,portable TypeScript,schemas and deterministic functions,effect core,DOM IDB Bun Node workerd renderer app roots,site compiler study,Shared model/invariant boundary across compiler and runtime,yes,no
A,recommended,packages/study,Attempt/session/progress/review schemas policies and service contracts,portable TypeScript,schemas reducers assembly scheduling and service ids,packages/content; effect core,DOM IDB handles Bun workerd concrete Layers,site tests possible print tooling,Independent behavioral ownership and reusable test boundary,yes,no
B,minimal,apps/site,All site browser and study behavior plus host implementations,browser service worker build integration,private modules,packages/content; effect,Bun compiler internals; optional Worker dependency,deployed site,Study remains private when no independent consumer exists,yes,build scripts only
B,minimal,apps/content-compiler,Same as option A,Bun,CLI/generated artifacts,packages/content; effect; platform-bun,browser DOM IDB,build pipeline,Executable boundary,yes,yes
B,minimal,packages/content,Same as option A,portable TypeScript,schemas/deterministic content rules,effect core,all host APIs,site compiler,Still shared by two executables,yes,no
C,expanded,apps/site,Same as option A,browser service worker build integration,site entrypoints,packages/content; packages/study; effect,Worker implementation imports,deployed site,Host/deployment boundary,yes,build scripts only
C,expanded,apps/content-compiler,Same as option A,Bun,CLI/generated artifacts,packages/content; effect; platform-bun,browser/workerd APIs,build pipeline,Executable boundary,yes,yes
C,expanded,apps/worker,Approved correction endpoint or narrow server capability,Cloudflare workerd,fetch handler,portable packages only if needed; effect,DOM IndexedDB Bun site bootstrap,correction submission,Independent deployment runtime and security boundary,yes,no
C,expanded,packages/content,Same as option A,portable TypeScript,schemas/deterministic rules,effect core,host APIs,site compiler worker if needed,Shared model boundary,yes,no
C,expanded,packages/study,Same as option A,portable TypeScript,study models policies contracts,packages/content; effect core,host implementations,site worker if needed,Shared behavior boundary,yes,no
