capability,effect_surface,stability,browser_page,bun_build_cli,service_worker,cloudflare_workerd,tests,project_decision,evidence_status,migration_risk
"runtime root","effect runtime; @effect/platform-browser/BrowserRuntime; @effect/platform-bun/BunRuntime","core stable; adapters v4 RC","OFFICIAL: one BrowserRuntime root for interactive app","OFFICIAL: BunRuntime.runMain","NATIVE EDGE: event handlers root Effect promises; no BrowserRuntime","NATIVE EDGE: module fetch handler roots request Effect; no Bun/Node runtime","OFFICIAL @effect/vitest plus runtime-specific harness","separate runtime roots; never universal runMain","CONFIRMED/INFERRED","medium because v4 RC"
"scope/cancellation","effect/Scope, Effect fibers","stable core","OFFICIAL","OFFICIAL","OFFICIAL inside each event but event Promise owns lifetime","OFFICIAL inside each request; ctx/waitUntil owns post-response lifetime","OFFICIAL","use Effect structured concurrency only within real runtime lifetime","CONFIRMED/INFERRED","low core; high if detached from runtime lifetime"
"clock/time","effect/Clock and related core time APIs","stable core","OFFICIAL when behavior needs deterministic time; native Date for trivial display","OFFICIAL for compiler workflows needing deterministic/retry time","OFFICIAL inside bounded event work","OFFICIAL inside request work; Cloudflare timers/request context remain runtime-specific","OFFICIAL test service","prefer official Effect service when behavior is test-relevant","INFERRED","low"
"randomness","effect/Random","stable core","OFFICIAL for deterministic simulations; native crypto for security","OFFICIAL for deterministic publication logic","OFFICIAL only where needed","OFFICIAL only where needed","OFFICIAL test service","separate deterministic Random from cryptographic Crypto","INFERRED","low"
"cryptographic bytes/digest/UUID","effect/Crypto + BrowserCrypto/BunCrypto","stable core service; adapter implementations RC","OFFICIAL BrowserCrypto in Effect workflows","OFFICIAL BunCrypto in compiler workflows","OFFICIAL possible via global Web Crypto layer; native also acceptable at thin edge","NATIVE Web Crypto or project service unless a tested Effect Crypto layer is explicitly wired","OFFICIAL/fake service in tests","use Effect Crypto where dependency/test substitution matters; do not invent duplicate crypto abstraction","CONFIRMED/INFERRED","low-medium due adapter/runtime differences"
"filesystem/path","effect/FileSystem; effect/Path; BunFileSystem/BunPath","stable core services","N/A","OFFICIAL focused Bun layers","N/A","N/A for normal Workers","fake/temp test layers","use for content compiler; do not leak to browser/workerd","CONFIRMED","low"
"Bun bundling/build","Bun.build (no generic Effect equivalent identified)","Bun native","N/A","NATIVE API BEHIND PROJECT SERVICE when failures/cancellation/test substitution matter","N/A","N/A","fake BuildTool service","preserve Bun-specific semantics; do not pretend FileSystem is a build abstraction","CONFIRMED/INFERRED","low"
"HTTP client / fetch","effect/unstable/http/FetchHttpClient; BrowserHttpClient; BunHttpClient","UNSTABLE","native fetch for simple static/network work; isolated Effect client only for corrections/pack transport complexity","unstable client only if compiler needs network; otherwise omit","native fetch inside event; optional project transport service","native fetch inside Request Context; optional project transport service","fake transport/client","do not make unstable HttpClient a universal dependency","CONFIRMED/INFERRED","medium-high"
"HTTP routing/server","effect/unstable/http HttpRouter/HttpEffect; effect/unstable/httpapi","UNSTABLE","N/A","only for actual local server/CLI endpoint, not compiler default","N/A","OPTIONAL isolated official abstraction via HttpEffect.toWebHandler if endpoint complexity justifies; default native module handler","@effect/vitest and workerd integration harness","native Cloudflare handler first; Effect HttpApi is upgrade option not baseline","CONFIRMED/INFERRED","high because unstable plus Cloudflare cancellation flags"
"Web Request/Response/Headers/URL","native Web APIs; unstable Effect HTTP models when adopted","native standards plus runtime extensions","NATIVE EDGE","native Web APIs or Effect HTTP only inside explicit HTTP workflow","NATIVE EDGE required by FetchEvent","NATIVE EDGE required by module handler; Cloudflare types/extensions remain visible","native Request/Response fixtures","do not erase runtime extensions under one portable request type","CONFIRMED/INFERRED","low-medium"
"authoritative learner progress","@effect/platform-browser IndexedDb* candidate behind project ProgressStore","public platform-browser API but database path imports effect/unstable/reactivity","OFFICIAL PROVIDER CANDIDATE behind PROJECT SERVICE; requires real-browser gate","N/A except fixtures/compiler migrations if separately modeled","not default owner; worker can access IDB only for SW-owned metadata","N/A","fake store for unit tests plus real-browser provider tests","prefer typed v4 IndexedDB spike over hand-rolled raw IDB, but retain provider isolation","CONFIRMED/INFERRED","medium-high due unstable reactivity and unprobed transaction timing"
"generic key/value persistence","BrowserKeyValueStore; BrowserPersistence; effect/unstable/persistence","UNSTABLE","only for genuinely generic preferences/cache, not progress authority","omit unless concrete need","localStorage unavailable; IDB possible but not default","Cloudflare storage bindings have different semantics","fake provider","reject generic persistence as ProgressStore authority","CONFIRMED/INFERRED","medium"
"offline asset/cache storage","browser CacheStorage native","Web standard","native API behind PackCache/OfflineAssetStore service","N/A","NATIVE API BEHIND PROJECT SERVICE; event lifetime explicit","do not share provider: Cloudflare Cache API is data-center-local and semantically different","fake cache + real SW browser tests","abstract product pack semantics, not Cache API identity","CONFIRMED/INFERRED","medium if falsely portable"
"service-worker lifecycle","ServiceWorkerGlobalScope install/activate/fetch/message; waitUntil/respondWith","Web standard","registration/control native at page edge","N/A","DIRECT NATIVE EDGE; Effect program inside event promise","N/A","real browser/PWA tests","no BrowserRuntime or generic WorkerRunner in SW","CONFIRMED","high if hidden behind generic workers"
"dedicated/shared workers","effect/unstable/workers + BrowserWorker/BunWorker","UNSTABLE","omit until computation-worker feature exists","omit until concrete build worker need","NOT a Service Worker abstraction","Cloudflare Worker is not this protocol","targeted protocol tests only if adopted","no current adoption","CONFIRMED/INFERRED","medium-high"
"WebSocket/socket","effect/unstable/socket + BrowserSocket/BunSocket","UNSTABLE","omit: no product need","omit unless tooling need","omit","native Cloudflare WebSocket semantics if future server need; do not assume Effect socket portability","mock/runtime integration if adopted","no current adoption","CONFIRMED/INFERRED","high if later adopted cross-runtime"
"child process","effect/unstable/process/ChildProcessSpawner; BunChildProcessSpawner","UNSTABLE","N/A","only in narrow tooling capability when a real subprocess is required; do not inherit through BunServices by default","N/A","do not use Bun/Node child process semantics in workerd","fake process service","exclude from default CompilerLive","CONFIRMED/INFERRED","medium"
"runtime environment/bindings","Context services / project services","stable core mechanism; values runtime-native","window/global values only when meaningful dependency","Bun/process/env only where tooling needs them","ServiceWorkerGlobalScope values remain event/global native","Cloudflare env bindings + ctx remain request/runtime-specific or narrow services","test Context/Layer replacements","inject meaningful capabilities, not every global value","INFERRED","low"
"logging/tracing/metrics","Effect core logging/tracing; Cloudflare ctx tracing is runtime-specific","core stable; some observability families unstable","OFFICIAL core where useful","OFFICIAL core for CLI/compiler","OFFICIAL core within event; browser console/runtime integration as appropriate","core Effect logging can be used but Cloudflare tracing/bindings remain native integration","capture/test logger","do not add unstable observability stack by default","INFERRED","medium"
"Effect-aware tests","@effect/vitest; effect/testing","v4 RC integration; stable core testing export","test browser logic via Vitest/browser harness","test compiler services via @effect/vitest; Bun test optional for pure/tooling","real browser SW tests additionally required","workerd runtime test additionally required","OFFICIAL @effect/vitest","use correct harness per semantics; Bun test is not universal replacement","CONFIRMED/INFERRED","low-medium"
