audit_id,source_or_asset,source_type,evidence_class,rights_coordinate,permitted_reference_use,modify_redistribute_rights,derivative_rights,disposition,evidence_status,notes
RIGHT-001,ISO 6787:2018,standard,standards-backed,official ISO page,reference dimensions/test scope only,not established by public page,not established by public page,REFERENCE_ONLY,CONFIRMED,exact purchased standard text and parameter citations were not preserved
RIGHT-002,ASME B107 families,standard family,standards-backed,official ASME family example,reference terminology/performance only,not established,not established,EVIDENCE_GAP,BLOCKED,raw source ledger omitted exact standard IDs/editions and citations
RIGHT-003,ANSI ladder standards,standard family,standards-backed,raw narrative only,reference structure/safety only,not established,not established,EVIDENCE_GAP,BLOCKED,"exact standard coordinate, edition, and cited clauses absent"
RIGHT-004,ETIM 10 / ETIM MC,classification database,official reference-backed,ODC-By 1.0 official license,classification/property reference,yes with attribution under license,not applicable,REFERENCE_ONLY,CONFIRMED,does not supply complete generic geometry
RIGHT-005,ECLASS 16,classification database,official reference-backed,official license page,classification/property reference,license-dependent,not applicable,REFERENCE_ONLY,CONFIRMED,paid/use terms and no complete geometry claim
RIGHT-006,STEP AP242,format standard,standards-backed,ISO 10303-242:2025 current page,neutral interchange,not model-specific,not model-specific,FORMAT_ONLY,CONFIRMED,format rights do not establish geometry rights
RIGHT-007,glTF 2.0,format standard,official reference-backed,Khronos registry,web delivery format,royalty-free spec; asset rights separate,asset rights separate,FORMAT_ONLY,CONFIRMED,not a model source
RIGHT-008,Amazon Berkeley Objects,dataset,rights-blocked,official ABO page vs AWS Registry,reference discovery only,conflict: CC BY 4.0 vs CC BY-NC 4.0,unknown per exact archive,RIGHTS_BLOCKED,CONFIRMED,resolve exact archive LICENSE and attribution before any use
RIGHT-009,Objaverse / Objaverse-XL,dataset aggregator,rights-blocked,official Objaverse-XL repository,object discovery only,dataset ODC-By; individual objects vary,object-specific,OBJECT_AUDIT_REQUIRED,CONFIRMED,no object admitted
RIGHT-010,Poly Haven,asset library,official reference-backed,official CC0 page,possible source discovery,"yes, CC0","yes, subject to mechanical fit",NO_ASSET_SELECTED,CONFIRMED,license is clean but no suitable audited tool asset was identified
RIGHT-011,commercial/supplier CAD portals,vendor assets,rights-blocked,raw narrative only,measurement/reference discovery,unknown/restrictive by portal,unknown,RIGHTS_BLOCKED,BLOCKED,"exact portals, terms, files, and dates absent"
RIGHT-012,public-domain catalogs/manuals,reference documents,unsupported,raw narrative only,reference/measurement aid,item-specific,item-specific,ITEM_AUDIT_REQUIRED,BLOCKED,no exact item or public-domain proof preserved
RIGHT-013,original photography/measurement,project evidence,originally measured,none present,could support project-authored model,project-controlled if documented,project-controlled if documented,ABSENT,BLOCKED,the raw report says no independent physical measurement was conducted
RIGHT-014,CadQuery,software tool,official reference-backed,Apache-2.0,model construction tool,software redistribution allowed under license,outputs are separately owned,TOOLCHAIN_OK,CONFIRMED,does not grant model/source rights
RIGHT-015,Open CASCADE Technology,software tool,official reference-backed,LGPL-2.1 plus exception,B-rep kernel/exporter,software obligations apply,outputs are separately owned,TOOLCHAIN_OK_WITH_OBLIGATIONS,CONFIRMED,not mechanical certification
RIGHT-016,trimesh,software tool,official reference-backed,MIT,mesh inspection,software redistribution allowed,outputs are separately owned,TOOLCHAIN_OK,CONFIRMED,"recovered meshes inspected with local 4.11.1; tool output does not certify geometry"
RIGHT-017,four project-authored POCs,model source/derivatives,project-authored research evidence,"recovered source, parameter records, derivatives, and CC0-1.0 declaration",research and reproducibility evidence,"yes under the bundle's CC0 declaration","yes; no third-party models, images, textures, logos, or exam drawings declared",RESEARCH_EVIDENCE_ONLY,CONFIRMED,"accepted as recovered POC evidence and retired as production-art candidates; editorial dimensions are not authoritative"
