lane_id,prompt_path,historical_output_branch,historical_output_path,archive_outcome,current_consumer
R2.1,prompts/research-v2/01-effect-v4-core-monorepo.md,research/v2-effect-core-topology,research/v2/effect-core-topology,"closed/reconciled; architecture/source analysis complete; runtime fixture execution blocked",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.2,prompts/research-v2/02-effect-v4-ui-reactivity.md,research/v2-effect-ui-reactivity,research/v2/effect-ui-reactivity,"closed/reconciled; source/design conclusions retained; Bun/browser/bundle/runtime probes blocked",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.3,prompts/research-v2/03-effect-v4-platform-runtime-matrix.md,research/v2-effect-platform-runtimes,research/v2/effect-platform-runtimes,"closed/reconciled; source/runtime matrix retained; several Effect/Bun/browser/workerd probes not run",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.4,prompts/research-v2/04-effect-v4-indexeddb-offline.md,research/v2-effect-indexeddb-offline,research/v2/effect-indexeddb-offline,"closed/reconciled; conditional storage conclusions retained; browser execution and quota proof blocked",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.5,prompts/research-v2/05-effect-v4-browser-bundling.md,research/v2-effect-browser-bundling,research/v2/effect-browser-bundling,"closed/reconciled; publication receipt complete; required Bun/Vite measurements BLOCKED/INCOMPLETE",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.6,prompts/research-v2/06-effect-v4-schema-content-compiler.md,research/v2-effect-schema-compiler,research/v2/effect-schema-compiler,"closed/reconciled; recovered from checked current main with fixture tests passing; original launch placeholder absent",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.7,prompts/research-v2/07-bun-monorepo-build-discipline.md,research/v2-bun-monorepo-discipline,research/v2/bun-monorepo-discipline,"closed/reconciled; workspace conclusions retained; full workspace runtime/install proof blocked",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.8,prompts/research-v2/08-testing-accessibility-performance-observability.md,research/v2-testing-accessibility-observability,research/v2/testing-accessibility-observability,"closed/reconciled; verification responsibilities retained; Bun/browser/AT/workerd execution blocked",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
R2.9,prompts/research-v2/09-hazard-scene-production.md,research/v2-hazard-scene-production,research/v2/hazard-scene-production,"closed/reconciled; production-method research complete; semantic conclusions retained; old authoring route superseded",research/v2/hazard-scene-production/README.md and maintained visual releases
R2.10,prompts/research-v2/10-tool-geometry-audit.md,research/v2-tool-geometry-audit,research/v2/tool-geometry-audit,"closed/reconciled; 79/79 rebuild evidence complete; four POCs retired",research/v2/tool-geometry-audit/REPORT.md and maintained visual policy
R2.90,prompts/research-v2/90-architecture-synthesis.md,research/v2-architecture-synthesis,research/v2/architecture-synthesis,"closed/reconciled; synthesis complete; implementation/runtime/production measurements remain open",product/ARCHITECTURE_CONSTRAINTS.md and docs/OPEN.md
