"decision_id","decision","evidence_status","recommendation","alternatives","adoption_status","stability","measurement_required","handoff"
"D01","Schema/registry boundary","CONFIRMED+OBSERVED","Effect Schema for values; named registry gates for publication","global checks; manual parsing","accept now","high architectural stability","production corpus scale","R2.90"
"D02","Effect cohort","CONFIRMED+OBSERVED","Pin synchronized 4.0.0-rc.111 for first implementation lock","rc.110; unpinned rc","accept provisionally","prerelease","rerun at scaffold time","R2.90/implementation"
"D03","Authoring format","INFERRED","Location-aware JSONC; generated strict JSON","YAML; TypeScript data","implementation spike","parser not selected","location and performance probe","implementation"
"D04","Workspace placement","INFERRED","Thin apps/content-compiler plus packages/content when second consumer exists","site script; package per gate","accept provisionally","depends on graph","consumer audit","R2.90"
"D05","Diagnostics","CONFIRMED+OBSERVED","Project Schema/data with stable codes and deterministic sort; inputs not reported","Effect formatter prose as API","accept now","high","large-corpus UX","implementation"
"D06","Canonical bytes","OBSERVED fixture; INFERRED production profile","Schema encode then formal canonical JSON then SHA-256","JSON.stringify object directly","implementation spike","profile unresolved","RFC 8785 compatibility probe","implementation"
"D07","Review state","INFERRED+OBSERVED","Separate review records bound to exact subject basis digest","mutable booleans","accept now","high","policy version rules","content tooling"
"D08","Publication transaction","INFERRED","Stage complete tree; validate closure; promote manifest last","in-place writes","accept now","host mechanics provisional","filesystem/CI failure injection","implementation"
"D09","JSON Schema","CONFIRMED+OBSERVED","Generate Draft 2020-12 as secondary editor/interchange artifact","JSON Schema as authority; omit","accept now","best-effort API in RC","consumer editor test","implementation"
"D10","Effect orchestration","CONFIRMED+INFERRED","Effect for I/O and typed operational failures; pure gates/generators","service per phase; all-manual promises","accept now","high","compiler process integration","implementation"
"D11","Split reveal artifacts","INFERRED from product authority","Separate pre/post commit Schemas and objects","one payload hidden by UI","accept now","non-negotiable security boundary","bundle/DOM leak test","R2.90/implementation"
"D12","Fixture sufficiency","OBSERVED","Use as R2.90 input; do not call it production compiler","prose-only recovery","accept now","exact-coordinate proof","expand entity/gate property tests","R2.90"
