source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
S1,project,"R2.7 prompt",00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,,prompts/research-v2/07-bun-monorepo-build-discipline.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/07-bun-monorepo-build-discipline.md,2026-08-22T12:50:00Z,"lane scope and required outputs","prompt is instruction not technical evidence"
S2,project,"Architecture constraints",00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-22T12:50:00Z,"Bun workspaces apps/packages Effect-v4 baseline","maintained project direction not upstream semantics"
S3,project,"R2.1 core topology",95f578713b9c4a3fc7f6da9a25cd158fac387373,,research/v2/effect-core-topology/REPORT.md,https://github.com/mannyc2/nycustodianexam/blob/95f578713b9c4a3fc7f6da9a25cd158fac387373/research/v2/effect-core-topology/REPORT.md,2026-08-22T12:50:00Z,"candidate four-workspace graph and dependency direction","R2.1 executable Bun probes remained blocked"
S4,project,"R2.3 platform/runtime report",d86cfc1ea163a356d5b71783ca9a1457443a0e7c,,research/v2/effect-platform-runtimes/REPORT.md,https://github.com/mannyc2/nycustodianexam/blob/d86cfc1ea163a356d5b71783ca9a1457443a0e7c/research/v2/effect-platform-runtimes/REPORT.md,2026-08-22T12:50:00Z,"browser Bun service-worker workerd runtime separation","some Effect/Bun runtime probes blocked"
S5,project,"R2.5 browser bundling report",5ee93662b5da0b5a7d308c865f820e42e4160000,,research/v2/effect-browser-bundling/REPORT.md,https://github.com/mannyc2/nycustodianexam/blob/5ee93662b5da0b5a7d308c865f820e42e4160000/research/v2/effect-browser-bundling/REPORT.md,2026-08-22T12:50:00Z,"Vite/Cloudflare coordinates and provisional bundle-gate status","runtime bundle measurements blocked"
S6,upstream,"Bun 1.4.0 tag commit",bun-v1.4.0,34cbb9a40b4bd1bd767d134a7065e66c2432a676,oven-sh/bun,https://github.com/oven-sh/bun/commit/34cbb9a40b4bd1bd767d134a7065e66c2432a676,2026-08-22T12:50:00Z,"exact Bun release coordinate","does not by itself prove all package-manager behaviors used by recommendation"
S7,upstream,"Effect package manifest",4.0.0-rc.111,1144032cedda7b5eacc1ebf980d06957c7a59ddf,packages/effect/package.json,https://github.com/Effect-TS/effect/blob/1144032cedda7b5eacc1ebf980d06957c7a59ddf/packages/effect/package.json,2026-08-22T12:50:00Z,"Effect v4 exact source version and package exports","source coordinate is not a registry install observation"
S8,upstream,"Effect browser platform manifest",4.0.0-rc.111,1144032cedda7b5eacc1ebf980d06957c7a59ddf,packages/platform/browser/package.json,https://github.com/Effect-TS/effect/blob/1144032cedda7b5eacc1ebf980d06957c7a59ddf/packages/platform/browser/package.json,2026-08-22T12:50:00Z,"coordinated browser package source version","source coordinate is not registry lock proof"
S9,upstream,"Effect Bun platform manifest",4.0.0-rc.111,1144032cedda7b5eacc1ebf980d06957c7a59ddf,packages/platform/bun/package.json,https://github.com/Effect-TS/effect/blob/1144032cedda7b5eacc1ebf980d06957c7a59ddf/packages/platform/bun/package.json,2026-08-22T12:50:00Z,"coordinated Bun package source version","source coordinate is not registry lock proof"
S10,upstream,"Effect Vitest manifest",4.0.0-rc.111,1144032cedda7b5eacc1ebf980d06957c7a59ddf,packages/vitest/package.json,https://github.com/Effect-TS/effect/blob/1144032cedda7b5eacc1ebf980d06957c7a59ddf/packages/vitest/package.json,2026-08-22T12:50:00Z,"official Effect test integration and Vitest peer range","source coordinate is not an executed test observation"
