source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
R2_09,repository-controlling,R2.9 hazard-scene production prompt,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/09-hazard-scene-production.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/09-hazard-scene-production.md,2026-08-22T00:28:38Z,lane scope required methods outputs and scene/generative contracts,prompt is a research specification not external evidence
R2_SHARED,repository-controlling,Shared research contract,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-22T00:28:38Z,evidence statuses publication gates receipts and current Effect/Bun requirement,governance not subject-matter evidence
R2_LAUNCH,repository-controlling,Research v2 launch contract,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/LAUNCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/LAUNCH-CONTRACT.md,2026-08-22T00:28:38Z,chat-supplied immutable launch SHA semantics,governance only
R_AGENTS,repository-controlling,Repository agent instructions,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,AGENTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/AGENTS.md,2026-08-22T00:28:38Z,authority map original-art restrictions security rules and scene-lane independence,repository-specific
R_ARCH,repository-controlling,Architecture constraints,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-22T00:28:38Z,Bun/Effect direction static deterministic scored views and open hazard-production decision,specialist lane may refine implementation direction
R_SCOPE,repository-controlling,Exam/content scope,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,docs/SCOPE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/docs/SCOPE.md,2026-08-22T00:28:38Z,allowed hazard scope original scenes decoys miss/false-positive feedback and anti-reconstruction rule,editorial scope is not an official blueprint
R_TAXONOMY,repository-controlling,Hazard/tool taxonomy,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,docs/TAXONOMY.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/docs/TAXONOMY.md,2026-08-22T00:28:38Z,hazard categories 12 environments QA rules alt metadata and bank-admission gate,editorial taxonomy not official weighting
R_LANDSCAPE,repository-controlling,Product and accessibility landscape,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,docs/LANDSCAPE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/docs/LANDSCAPE.md,2026-08-22T00:28:38Z,original scene requirement false-positive/miss pedagogy accessibility split and print/mobile constraints,normalized synthesis includes prior research
R_FEATURE,repository-controlling,Normalized product feature contract,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/FEATURE_SPEC.md,2026-08-22T00:28:38Z,hazard player matching reveal nonvisual print data/version/accessibility/release behavior,product contract not a production-method decision
R_ILLUS,repository-supporting,Recovered illustration pipeline,source SHA,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,illustration/PIPELINE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/illustration/PIPELINE_SPEC.md,2026-08-22T00:28:38Z,scene QA negative-hazard inventory hotspot separation descriptions and historical AI-first assumptions,recovered AI-first method is explicitly noncontrolling for R2.9
