decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
D-01,Preserve four runtime roots,CONFIRMED,"Separate browser page, browser Service Worker, Bun tooling and Cloudflare workerd entrypoints and Layers",one universal platform layer,RECOMMENDED,architecture rule,no,none,workspace/package design
D-02,Browser runtime root,CONFIRMED,One BrowserRuntime.runMain root per interactive application/island; no runtime construction per DOM event,scattered runPromise/runFork or one runtime per event,RECOMMENDED,public browser module on RC line,yes for bundle/startup,Effect browser bundle probe,UI implementation lane
D-03,Browser HTTP policy,CONFIRMED; execution BLOCKED,Use BrowserHttpClient behind cohesive clients when typed status/Schema/retry/tracing matter; native fetch for trivial static reads,all native fetch; universal HttpClient wrapper,PROVISIONAL,unstable HTTP protocol,yes,BrowserHttpClient real-browser execution and bundle size,content-pack/correction implementation
D-04,IndexedDB provider spike,CONFIRMED; native provider OBSERVED; Effect execution BLOCKED,Spike first-party IndexedDb* behind product stores; require exact transaction/migration/interruption tests before adoption,native IndexedDB; idb; Dexie,PROVISIONAL,stable public modules with unstable Reactivity dependency,yes,real package browser probe and comparison bundle,storage lane
D-05,KV scope,CONFIRMED,Use simple KV only for settings; never for attempts/progress/packs/session transactions,generic KV for all persistence,RECOMMENDED,provider dependent,no,none,storage schema design
D-06,Service Worker boundary,OBSERVED,Keep install/activate/fetch/message and waitUntil/respondWith native; run only bounded Effects inside event-owned promises,BrowserRuntime as long-lived Service Worker lifecycle abstraction,RECOMMENDED,Web standard,yes for production caching/update flows,full pack update SW integration,offline-pack implementation
D-07,Bun platform composition,CONFIRMED; execution BLOCKED,Use BunRuntime and focused BunFileSystem/BunPath/Crypto layers; avoid BunServices.layer by default,native fs/path throughout; aggregate BunServices,PROVISIONAL,RC modules; aggregate exposes unstable process capability,yes,"Bun install, bun.lock, AGENTS review, runtime/fs probe",content compiler implementation
D-08,Correction endpoint boundary,INFERRED from confirmed requirements,Native module Worker fetch handler plus narrow Effect Schema/use case,effect/unstable/http router; effect/unstable/httpapi,RECOMMENDED,native boundary stable; core Effect RC,yes before deployment,workerd integration and abuse tests,server implementation only when endpoint is authorized
D-09,HttpRouter adoption threshold,CONFIRMED source; execution BLOCKED,Adopt only when multiple routes/middleware/streaming/resource scope make the unstable bridge pay for itself,always use; never use,DEFERRED,explicitly unstable,yes,real handler bundle/cold-start/workerd probe,revisit after API growth
D-10,HttpApi adoption threshold,CONFIRMED source,"Use only when typed endpoint algebra, generated clients/OpenAPI and shared middleware justify larger unstable surface",use for one correction POST,NOT ADOPTED,explicitly unstable,yes if reconsidered,endpoint complexity threshold not met,future API program
D-11,Runtime and Layer reuse,CONFIRMED source; Node shape OBSERVED,Construct environment-independent runtime/Layers once per module/isolate; inject request/env context per request; dispose on isolate/test teardown,build runtime/Layer for every request,RECOMMENDED,topology rule,yes in workerd,workerd runtime/cold-start probe,server composition root
D-12,Cancellation truth,CONFIRMED+OBSERVED,"Map AbortSignal to Effect interruption but rely on idempotency, transactions and reconciliation for correctness",claim interruption guarantees provider cancellation/rollback,RECOMMENDED,cross-runtime invariant,yes per provider,workerd client-abort and Effect IndexedDB probes,all I/O implementations
D-13,Cache separation,CONFIRMED,Keep browser Cache Storage and Cloudflare Cache API as separate providers/contracts,one portable Cache service with identical semantics,RECOMMENDED,provider-specific,yes where used,none for current endpoint,offline pack and edge caching designs
D-14,Native Web API default,CONFIRMED+OBSERVED,Keep Web values and lifecycle-owned APIs native unless a service adds failure/lifecycle/resource/testing semantics,service per API/function,RECOMMENDED,architecture rule,no,none,all implementation lanes
D-15,Testing split,CONFIRMED,"Use @effect/vitest for Effects/Layers, real Chromium for browser/SW, and Workers Vitest/workerd for Cloudflare",Node-only unit tests for every runtime,RECOMMENDED,tooling versions must be pinned later,yes,installable cohort/workerd environment,test architecture
D-16,Bundle gate,BLOCKED,Measure each browser/workerd entry independently; prohibit Bun/node-shared leakage into browser/workerd graphs,infer bundle cost from source or package name,REQUIRED GATE,measurement requirement,yes,Bun/package install,build research/implementation
D-17,Optional analytics,INFERRED,"Defer; if added, make it privacy-bounded and failure-isolated, sharing backend runtime only if already deployed",dedicated analytics backend now,DEFERRED,product optional,yes if adopted,product need and privacy review,future product decision
D-18,Version cohort coordination,CONFIRMED,Pin one coherent Effect cohort; do not mix source rc.111 core with registry rc.110 Bun adapter without resolution proof,independent semver ranges,REQUIRED GATE,RC churn,yes,published coordinated package cohort and lockfile,workspace dependency catalog
