probe_id,probe,status,coordinate,result,limitation
P01,JavaScript syntax checks,OBSERVED,Node 22.16.0,PASS for fixture JavaScript and MJS files,Does not resolve unavailable package imports
P02,Renderer-neutral model tests,OBSERVED,Node 22.16.0,3 of 3 pass,Does not execute Effect or IndexedDB
P03,Policy-safe Chromium interaction probe,OBSERVED,Chromium 144.0.7559.96,Direct and native-template arms pass failure retry reconciliation focus live-region restoration flag next and disposal,Uses about:blank and an asynchronous IndexedDB-shaped test double
P04,Native Chromium HTTP navigation,BLOCKED,Chromium managed URLBlocklist,ERR_BLOCKED_BY_ADMINISTRATOR,Application never loads
P05,Native IndexedDB,BLOCKED,about:blank opaque origin,SecurityError on indexedDB.open,Managed browser forbids a navigable origin
P06,Static precommit leak scan,OBSERVED,public fixture tree,PASS: no answer-key or explanation literal in served files,Does not prove future generated bundles or source maps
P07,Unbundled source closure measurement,OBSERVED,Node zlib,Direct 20620 raw/5553 gzip; native-template 21662/5864; lit first-party source excluding dependency 21001/5612,Not a Vite production bundle and excludes lit-html package bytes
P08,Bun install and lockfile,BLOCKED,bun-v1.4.0 selected,No Bun executable and no package network,No bun.lock fabricated
P09,Effect Schema typecheck/runtime,BLOCKED,effect 4.0.0-rc.111,Module resolution fails because package is unavailable,Source API was inspected at exact tag only
P10,Vite production bundle measurement,BLOCKED,Vite 8.2.1,Config and measurement script committed but build not run,Requires installed dependencies and Bun
P11,lit-html browser arm,BLOCKED,lit-html 3.3.3,Source adapter and static HTML committed but not executed,Requires installed lit-html and Vite/browser rerun
