source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
SRC-001,project authority,R2.3 lane prompt,immutable source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/03-effect-v4-platform-runtime-matrix.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/03-effect-v4-platform-runtime-matrix.md,2026-08-21T23:34:00Z,"lane scope, capabilities, probes and outputs",prompt is not technical runtime evidence
SRC-002,project authority,Shared research contract,immutable source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-21T23:34:00Z,"evidence labels, Effect/Bun gates, output contract","governance, not API proof"
SRC-003,project authority,Architecture constraints,immutable source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-21T23:34:00Z,"runtime boundaries, Effect v4/Bun direction, no universal wrappers","project direction, not provider proof"
SRC-004,project authority,Feature specification,immutable source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/FEATURE_SPEC.md,2026-08-21T23:34:00Z,"offline packs, commit-before-reveal, correction/analytics boundary","product contract, not implementation proof"
SRC-005,project authority,Effect v4/Bun research doctrine,immutable source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md,2026-08-21T23:34:00Z,service/package/runtime evidence discipline,project doctrine
SRC-006,preliminary project evidence,Closed unmerged PR #7,head 7fb3965056f57305ff10f418e0238fb2427ef41d,7fb3965056f57305ff10f418e0238fb2427ef41d,research/v2/effect-platform/**,https://github.com/mannyc2/nycustodianexam/pull/7,2026-08-21T23:34:00Z,"preliminary source map, hypotheses and explicit blocked probes","older source, unmerged, no Bun/browser/bundle/workerd execution"
SRC-007,official upstream source,Effect monorepo current main,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/effect and packages/platform,https://github.com/Effect-TS/effect/tree/993f4be99949d4682f79c22b9cb8dc2fda37ec7c,2026-08-21T23:34:00Z,current v4 exports and implementation source,source existence is not registry or runtime proof
SRC-008,official upstream source,Effect package manifest,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/effect/package.json,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/effect/package.json,2026-08-21T23:34:00Z,stable and unstable export families,manifest does not prove execution
SRC-009,official upstream source,Browser platform package and modules,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser,https://github.com/Effect-TS/effect/tree/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser,2026-08-21T23:34:00Z,"BrowserHttpClient, BrowserCrypto, Runtime, IndexedDb and other browser adapters",source inspection; package not executed
SRC-010,official upstream source,BrowserHttpClient implementation,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/src/BrowserHttpClient.ts,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/src/BrowserHttpClient.ts,2026-08-21T23:34:00Z,fetch provider and AbortController cancellation mapping,no executable Effect probe
SRC-011,official upstream source,IndexedDB database and query implementation,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/src/IndexedDbDatabase.ts and IndexedDbQueryBuilder.ts,https://github.com/Effect-TS/effect/tree/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/src,2026-08-21T23:34:00Z,"typed schemas, migrations, transaction errors, interruption abort",no real package execution; internal Reactivity unstable
SRC-012,official upstream tests,IndexedDbDatabase tests,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/browser/test/IndexedDbDatabase.test.ts,https://github.com/Effect-TS/effect/blob/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/browser/test/IndexedDbDatabase.test.ts,2026-08-21T23:34:00Z,intended table/version/migration/transaction usage,upstream fake-indexeddb tests are not this project's real-browser proof
SRC-013,official upstream source,Bun platform package,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/platform/bun,https://github.com/Effect-TS/effect/tree/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/platform/bun,2026-08-21T23:34:00Z,"BunRuntime, focused layers and node-shared dependency",no Bun execution
SRC-014,official upstream source,Effect Web handler bridge,4.0.0-rc.111,993f4be99949d4682f79c22b9cb8dc2fda37ec7c,packages/effect/src/unstable/http/HttpEffect.ts and HttpRouter.ts,https://github.com/Effect-TS/effect/tree/993f4be99949d4682f79c22b9cb8dc2fda37ec7c/packages/effect/src/unstable/http,2026-08-21T23:34:00Z,"Request-to-Response bridge, lazy cache, abort and stream scope behavior",unstable namespace; not executed
SRC-015,official release,Bun v1.4 release,bun-v1.4.0,34cbb9a40b4bd1bd767d134a7065e66c2432a676,official GitHub release,https://github.com/oven-sh/bun/releases/tag/bun-v1.4.0,2026-08-21T23:34:00Z,current Bun version and exact tag commit,release metadata is not local execution
SRC-016,official Cloudflare docs,Workers fetch handler,accessed 2026-08-21,,runtime-apis/handlers/fetch,https://developers.cloudflare.com/workers/runtime-apis/handlers/fetch/,2026-08-21T23:34:00Z,"module fetch(request, env, ctx) boundary",docs do not prove this fixture under workerd
SRC-017,official Cloudflare docs,Workers Request and request signal,accessed 2026-08-21,,runtime-apis/request,https://developers.cloudflare.com/workers/runtime-apis/request/,2026-08-21T23:34:00Z,Request extensions and abort-signal compatibility behavior,account compatibility flags/date must be tested
SRC-018,official Cloudflare docs,Workers Streams,accessed 2026-08-21,,runtime-apis/streams,https://developers.cloudflare.com/workers/runtime-apis/streams/,2026-08-21T23:34:00Z,Web Streams and response streaming,runtime limits require integration tests
SRC-019,official Cloudflare docs,Workers Vitest integration,accessed 2026-08-21,,testing/vitest-integration,https://developers.cloudflare.com/workers/testing/vitest-integration/,2026-08-21T23:34:00Z,workerd-backed testing recommendation,tool version not pinned in this lane
SRC-020,Web platform documentation,IDBTransaction lifecycle,accessed 2026-08-21,,MDN IDBTransaction,https://developer.mozilla.org/en-US/docs/Web/API/IDBTransaction,2026-08-21T23:34:00Z,"auto-commit, complete and abort semantics",browser implementations still require tests
SRC-021,Web platform documentation,ExtendableEvent.waitUntil,accessed 2026-08-21,,MDN waitUntil,https://developer.mozilla.org/en-US/docs/Web/API/ExtendableEvent/waitUntil,2026-08-21T23:34:00Z,Service Worker event lifetime ownership,"documentation, not product cache flow proof"
SRC-022,Web platform documentation,FetchEvent.respondWith,accessed 2026-08-21,,MDN respondWith,https://developer.mozilla.org/en-US/docs/Web/API/FetchEvent/respondWith,2026-08-21T23:34:00Z,Service Worker response ownership,"documentation, not product route proof"
SRC-023,Web platform documentation,Navigator.onLine,accessed 2026-08-21,,MDN Navigator.onLine,https://developer.mozilla.org/en-US/docs/Web/API/Navigator/onLine,2026-08-21T23:34:00Z,online signal is heuristic,browser heuristics vary
SRC-024,Web platform documentation,StorageManager,accessed 2026-08-21,,MDN StorageManager,https://developer.mozilla.org/en-US/docs/Web/API/StorageManager,2026-08-21T23:34:00Z,quota/persistence advisory APIs,browser policy varies
