"source_id","authority","title","version_or_ref","commit_sha","path_or_coordinate","url","accessed_at","supports","limitations"
"P01","maintained project authority","Feature specification","main@d94981c","d94981c62e3834177f0db9bc387b2c601c40636b","product/FEATURE_SPEC.md","https://github.com/mannyc2/nycustodianexam/blob/d94981c62e3834177f0db9bc387b2c601c40636b/product/FEATURE_SPEC.md","2026-08-22T23:45:00Z","entity invariants publication gates offline accessibility release acceptance","does not select APIs"
"P02","maintained project authority","Architecture constraints","main@d94981c","d94981c62e3834177f0db9bc387b2c601c40636b","product/ARCHITECTURE_CONSTRAINTS.md","https://github.com/mannyc2/nycustodianexam/blob/d94981c62e3834177f0db9bc387b2c601c40636b/product/ARCHITECTURE_CONSTRAINTS.md","2026-08-22T23:45:00Z","Effect v4 Bun deterministic content and runtime boundaries","leaves exact topology open"
"P03","lane contract","R2.6 prompt","main@d94981c","d94981c62e3834177f0db9bc387b2c601c40636b","prompts/research-v2/06-effect-v4-schema-content-compiler.md","https://github.com/mannyc2/nycustodianexam/blob/d94981c62e3834177f0db9bc387b2c601c40636b/prompts/research-v2/06-effect-v4-schema-content-compiler.md","2026-08-22T23:46:00Z","required questions fixtures and outputs","immutable source placeholder made original prompt unrunnable"
"P04","normalized raw research","Byte-preserved E05 Schema/content registry report","raw f9a7392","","research/initial-pass/raw/effect/05-effect-v4-schema-content-registry/","https://github.com/mannyc2/nycustodianexam/tree/d94981c62e3834177f0db9bc387b2c601c40636b/research/initial-pass/raw/effect/05-effect-v4-schema-content-registry","2026-08-22T23:47:00Z","structural-relational split entities gates diagnostics artifacts addressing","rc.110 and folder layout required refresh"
"P05","maintained doctrine","Effect v4 and Bun research doctrine","main@d94981c","d94981c62e3834177f0db9bc387b2c601c40636b","research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md","https://github.com/mannyc2/nycustodianexam/blob/d94981c62e3834177f0db9bc387b2c601c40636b/research/prompt-curation/EFFECT-V4-BUN-RESEARCH-DOCTRINE.md","2026-08-22T23:47:00Z","latest cohort fixture installed guide source-first workflow","research process contract not runtime proof"
"E01","official upstream source","Effect package tag and source","4.0.0-rc.111","648f566dd259898e7697c7fcb796183ccbc474ab","packages/effect/{package.json;AGENTS.md;SCHEMA.md;src/Schema.ts;src/SchemaParser.ts;src/SchemaIssue.ts}","https://github.com/Effect-TS/effect/tree/648f566dd259898e7697c7fcb796183ccbc474ab/packages/effect","2026-08-22T23:50:00Z","current Schema models parser options issue formatting JSON Schema and guidance","prerelease exact-coordinate source"
"E02","official upstream source","Schema migration guide","4.0.0-rc.111","648f566dd259898e7697c7fcb796183ccbc474ab","migration/schema.md","https://github.com/Effect-TS/effect/blob/648f566dd259898e7697c7fcb796183ccbc474ab/migration/schema.md","2026-08-22T23:50:00Z","v4 union check refine and transformation changes","migration evidence not project design"
"N01","official registry","effect package version registry","rc tag 4.0.0-rc.111","","npm effect versions","https://www.npmjs.com/package/effect?activeTab=versions","2026-08-22T23:49:00Z","latest published rc coordinate","registry page does not prove fixture behavior"
"B01","observed runtime","Local Bun runtime","1.3.14","0d9b296a","bun --version","https://www.npmjs.com/package/bun/v/1.3.14","2026-08-22T23:53:00Z","exact runtime used for install typecheck test and probe","single Linux environment"
"F01","committed probe","Current v4 compiler fixture","effect 4.0.0-rc.111 / Bun 1.3.14","","research/v2/effect-schema-compiler/fixtures/current-v4-compiler","","2026-08-22T23:53:00Z","decode gates JSON Schema canonical hashes and tests","representative fixture not production corpus"
