decision_id,decision,evidence_status,recommendation,alternatives,adoption_status,stability,runtime_measurement_required,blocking_items,handoff
R2.9-D01,Overall visual production architecture,MAINTAINER_DECISION,"Use Codex-native image generation for isolated tools and hazard scenes; accepted reviewed raster bytes control","mandatory SVG/CAD/Blender/human-first routes",adopted,high,no,"per-asset review only",illustration/VISUAL_AUTHORING_POLICY.md
R2.9-D02,Controlling scored presentation,CONFIRMED,"Use one exact unannotated immutable static image for a scored attempt","interactive 3D; animated scene; multiple pre-answer views",adopted,high,yes,"phone/print/readability per asset",implementation
R2.9-D03,Scene meaning authority,MAINTAINER_DECISION,"Author semantic manifest before generation and require manifest final pixels regions and descriptions to agree","derive meaning from pixels or prompt alone",adopted,high,yes,"compiler closure and pilot ergonomics",content compiler
R2.9-D04,Public sample style reference,MAINTAINER_DECISION,"Allow publicly released official samples as high-level style references only","ban all sample reference; reconstruct sample content",adopted,high,yes,"public provenance and similarity review",visual pilot
R2.9-D05,SVG/2D production route,SUPERSEDED,"Optional internal reference only; not required production artwork","mandatory route for simple scenes",historical-only,high,no,none,none
R2.9-D06,Blender/3D production route,SUPERSEDED,"Optional internal reference only; not required production artwork","mandatory geometry-critical route",historical-only,high,no,none,none
R2.9-D07,Human illustrator route,SUPERSEDED,"Optional exceptional edit/reference assistance with explicit rights; not the normal route","universal or mandatory complex-scene route",conditional,medium,yes,"rights and exact-edit review if used",maintainer
R2.9-D08,Codex text-to-image,MAINTAINER_DECISION,"Use as controlling production authoring route subject to semantic review","exclude from controlling production",adopted,high,yes,"current pilot and every asset's review graph",visual production
R2.9-D09,Deterministic model regeneration,MAINTAINER_DECISION,"Not required; preserve accepted bytes and deterministically build derivatives from them","seed/model rerun as publication requirement",rejected,high,no,none,compiler
R2.9-D10,Target/decoy regions,CONFIRMED,"Human-author normalized polygons against the exact accepted image; never infer at scoring time","runtime vision; transferred draft regions",adopted,high,yes,"pilot tolerance and overlap tests",implementation
R2.9-D11,Hotspot tolerance,INFERRED,"Measure display-space tolerance in the pilot and reject semantic overlap","one untested fixed value",pilot-required,medium,yes,"small-phone marker tests",hazard player
R2.9-D12,Zone/accessibility ordering,CONFIRMED,"One stable neutral zone order drives descriptions equivalents feedback and print","separate answer-bearing orderings",adopted,high,yes,"assistive-technology tests",implementation
R2.9-D13,Nonvisual equivalent,CONFIRMED,"Provide neutral equivalent and report visual/nonvisual formats separately","answer-bearing description; omission",adopted,high,yes,"representative usability tests",content/accessibility
R2.9-D14,QA ontology,INFERRED,"Use stable HSP-* release-blocking codes and independent accidental-hazard review","free-form comments only",adopted,high,yes,"pilot calibration",visual production
R2.9-D15,Scene/version immutability,CONFIRMED,"Version manifest master regions descriptions derivatives reviews and item refs separately","mutable latest asset",adopted,high,yes,"schema/compiler tests",content compiler
R2.9-D16,Changed-scene variants,INFERRED,"Generate and independently review variants without fixed target locations","reuse identical layout/hotspots",adopted,medium,yes,"variant pilot",content production
R2.9-D17,Offline/runtime payload,MAINTAINER_DECISION,"Ship opaque reviewed static assets and minimum interaction/accessibility data; no generator runtime","ship prompts weights authoring sources or model runtime",adopted,high,yes,"actual asset-size measurements",bundling/offline
R2.9-D18,Native size and batching,UNKNOWN,"Measure Codex native output then calculate/test a safe tile grid; default to one image","assume dimensions or force contact sheets",pilot-required,medium,yes,"Phase 0 and Phase 3 pilot results",visual production
R2.9-D19,Launch scope,MAINTAINER_DECISION,"Keep every Tier A/B concept in launch scope","launch/later/watchlist scope cut",adopted,high,no,"production completion only",content production
R2.9-D20,Production approval,CONFIRMED,"Approve each exact image only after complete content rights accessibility leak and phone/print review","approve route or batch by architecture alone",per-asset,high,yes,"closed review graph",maintainer/compiler
