"question_id","question","status","resolving_evidence","owner","blocking"
"Q01","Which location-preserving JSONC parser is smallest and most reliable under Bun?","UNKNOWN","implementation spike with ranges duplicate keys comments and malformed UTF-8","implementation","yes before author UX"
"Q02","Adopt RFC 8785 verbatim or a frozen project canonical JSON subset?","UNKNOWN","cross-runtime vectors including numbers Unicode and escaping","implementation","yes before first publication"
"Q03","What exact review policy versions are launch requirements per entity kind?","UNKNOWN","maintainer/editorial policy decision encoded as gate configuration","content maintainers","yes before publishing"
"Q04","How are secure test-only fixtures separated from public authoring and generated outputs?","UNKNOWN","R2.8 security boundary plus workspace/CI design","R2.90/implementation","yes"
"Q05","Does packages/content have a second runtime consumer in the first slice?","UNKNOWN","vertical-slice import graph","R2.90","no; start co-located if not"
"Q06","Which content entities need independent schema-version families at launch?","INFERRED","authoring corpus and migration inventory","content compiler implementation","yes before migration freeze"
"Q07","How are human semantic leak reviews represented and invalidated after generated filename/metadata changes?","UNKNOWN","security review workflow and generated basis digest design","content/security maintainers","yes for scored visuals"
"Q08","What is the maximum practical diagnostics/corpus size under Bun?","UNKNOWN","large synthetic corpus benchmark","implementation","no for first slice"
"Q09","Should generated JSON Schema be published publicly or remain an authoring artifact?","UNKNOWN","threat/privacy and authoring tool review","maintainers","no"
"Q10","Will rc.111 still be current at scaffold time?","UNKNOWN","repeat official registry/source gate and deliberate synchronized upgrade","implementation launch","yes"
