source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
repo-lane-prompt,repository authority,R2.10 tool geometry audit prompt,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/10-tool-geometry-audit.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/10-tool-geometry-audit.md,2026-08-22T10:36:22Z,"lane scope, required outputs, POC classifications","prompt, not evidence of model correctness"
repo-shared-contract,repository authority,Shared research contract,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-22T10:36:22Z,"status vocabulary, publication, reproducibility discipline",governance only
repo-taxonomy,maintained repository authority,Current tool taxonomy,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,docs/TAXONOMY.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/docs/TAXONOMY.md,2026-08-22T10:36:22Z,current decisive features and 14 confusable pairs,"editorial taxonomy, not official exam weighting"
repo-pipeline,maintained repository authority,Tool geometry pipeline,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,illustration/TOOL_GEOMETRY_PIPELINE.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/illustration/TOOL_GEOMETRY_PIPELINE.md,2026-08-22T10:36:22Z,"static scored authority, review gates, no production approval","architecture, not POC evidence"
repo-reconciliation,normalized repository evidence,Tool geometry reconciliation,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/TOOL-GEOMETRY-RECONCILIATION.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/TOOL-GEOMETRY-RECONCILIATION.md,2026-08-22T10:36:22Z,known archive/checksum and approval limits,summary; raw evidence controls when present
repo-raw-readme,raw GitHub evidence,Raw tool geometry README,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/raw/tool-geometry/README.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/tool-geometry/README.md,2026-08-22T10:36:22Z,recorded archive/report identities and publication claims,claims conflict with actual Git tree
repo-raw-schema,raw GitHub evidence,Proposed asset manifest schema,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/raw/tool-geometry/asset-manifest.schema.json,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/tool-geometry/asset-manifest.schema.json,2026-08-22T10:36:22Z,proposed manifest fields and review states,proposal only; no instance manifests present
repo-raw-report,raw GitHub evidence,Recovered report parts 01-05,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/raw/tool-geometry/report/,https://github.com/mannyc2/nycustodianexam/tree/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/tool-geometry/report,2026-08-22T10:36:22Z,"narrative claims, limitations, expected evidence layout","part set is 44,092 bytes shorter than claimed report"
repo-source-hashes,normalization ledger,Source hash ledger,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/SOURCE-HASHES.sha256,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/SOURCE-HASHES.sha256,2026-08-22T10:36:22Z,recorded SHA-256 coordinates for missing source files,hashes alone do not make bytes available
repo-raw-archives,normalization receipt,Raw archive intake and publication limits,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,research/initial-pass/RAW-ARCHIVES.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/RAW-ARCHIVES.md,2026-08-22T10:36:22Z,outer archive inventory and omitted binary policy,states compact source existed but it is absent from current tree
repo-license,repository license,MIT License,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,LICENSE,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/LICENSE,2026-08-22T10:36:22Z,repository software license,does not cure third-party source/model rights
iso-6787,official standard publisher,ISO 6787:2018,2018 edition 3; confirmed 2025,,ISO adjustable wrench standard,https://www.iso.org/standard/71911.html,2026-08-22T10:36:22Z,"dimensions, jaw clearance, performance test scope",standard text is copyrighted; no complete generic B-rep or model redistribution grant
