question_id,question,evidence_status,resolution_or_boundary,resolving_evidence,handoff
Q-001,Where are the exact archive bytes?,CLOSED,"the exact nested research bundle is committed; the outer recovery archive remains an intake coordinate only","recovered-input/research-bundle.zip; RAW-BUNDLE-IDENTITY.md",none
Q-002,Why do the GitHub report fragments differ from the recovered report?,UNKNOWN/NONBLOCKING,"they are preserved as distinct normalization or packaging states and are not equated",RAW-BUNDLE-IDENTITY.md,none
Q-003,Can the historical result be reproduced in a fresh environment?,CLOSED,"yes; Python 3.12.3 with the pinned package set reproduced all 79 files exactly twice",REBUILD-RECEIPT.md,none
Q-004,"Which 79 files were compared, and were they exact?",CLOSED,"the committed probe enumerates them; historical-vs-A and A-vs-B are exact 79/79",CHECKSUM-AUDIT.csv,none
Q-005,What parameters generated each POC?,CLOSED,"the four recovered parameter records and model source are present and audited",POC-PARAMETER-AUDIT.csv,none
Q-006,Are all parameter values standards-backed?,PARTIAL/NONBLOCKING,"no; unsupported editorial values remain research-only and the POCs are retired",POC-PARAMETER-AUDIT.csv,none
Q-007,Are the recovered B-reps structurally inspectable?,CLOSED-FOR-POC,"yes; STEP/component/bounds/mesh observations are recorded; qualified production review is unnecessary because the POCs are retired",POC-GEOMETRY-AUDIT.csv,none
Q-008,Does production need a current-taxonomy image inventory?,YES/FUTURE,"yes; Codex-native production uses the maintained taxonomy rather than the old POC inventory",TAXONOMY-DIFF.csv,content production
Q-009,Which ABO license applies?,NOT-APPLICABLE,"no ABO object is present in the recovered POCs",SOURCE-RIGHTS-AUDIT.csv,none
Q-010,Are recovered asset names and metadata answer-neutral?,CLOSED-FOR-POC,"the structured asset scan passed; application delivery remains a future release gate",ANSWER-LEAK-AUDIT.md,production release
Q-011,Who signs off the POCs mechanically?,NOT-REQUIRED,"no production signoff is needed for retired research POCs",HUMAN-MECHANICAL-REVIEW-PACKET.md,none
Q-012,Where are the recovered binaries stored?,CLOSED,"inside the committed content-addressed research bundle",RAW-BUNDLE-IDENTITY.md,none
