source_id,authority,title,version_or_ref,commit_sha,path_or_coordinate,url,accessed_at,supports,limitations
P01,project authority,Immutable repository source,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,agent/chat-corpus-reconciliation,https://github.com/mannyc2/nycustodianexam/commit/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb,2026-08-21T21:48:46Z,Exact project corpus used by R2.1,Research branches are not merged into this source
P02,project contract,Shared R2 research contract,source SHA,001c680f04515eeb45ffdc959cd128aa7f8c39fe,prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/00-SHARED-RESEARCH-CONTRACT.md,2026-08-21T20:55:00Z,GitHub workflow current-v4 gate required outputs and probes,Contract is not runtime evidence
P03,lane contract,R2.1 lane prompt,source SHA,12e41b72aa3b570119af28491c195753ac681d71,prompts/research-v2/01-effect-v4-core-monorepo.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/prompts/research-v2/01-effect-v4-core-monorepo.md,2026-08-21T20:55:00Z,R2.1 questions outputs and probes,Prompt is instruction not technical evidence
P04,maintained project authority,Architecture constraints,source SHA,cdd218e03320af4001a8f86fa725a29127189872,product/ARCHITECTURE_CONSTRAINTS.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/ARCHITECTURE_CONSTRAINTS.md,2026-08-21T21:05:00Z,Effect v4 Bun apps/packages runtime and security constraints,Leaves exact graph open
P05,maintained product authority,Feature specification,source SHA,6fb55af937eaaa9fd0c51e0678e64ae6ee0beb5a,product/FEATURE_SPEC.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/product/FEATURE_SPEC.md,2026-08-21T21:10:00Z,Atomic commit-before-reveal offline session and content behavior,Does not select technical APIs
P06,normalized research,Initial-pass reusable and redo ledgers,source SHA,,research/initial-pass/{NORMALIZATION.md;REUSABLE-FINDINGS.md;REDO-REQUIRED.md},https://github.com/mannyc2/nycustodianexam/tree/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass,2026-08-21T21:08:00Z,Reusable versus superseded findings and redo scope,Not current Effect authority
P07,repository provenance,Raw archive README,source SHA,05ccee9d8df945471c48334ebb68e92889de67d8,research/initial-pass/raw/ARCHIVE-README.md,https://github.com/mannyc2/nycustodianexam/blob/00155a1d555d1d4c84f3ab9682ee876dd2a57fbb/research/initial-pass/raw/ARCHIVE-README.md,2026-08-21T21:15:00Z,Confirms some chat-only raw reports were not restored,Named E04/E08 inputs are unavailable
P08,preliminary evidence only,Closed unmerged PR #5,f6a7adcb5a599b1f386e3cdabc548ef03d3cad44,f6a7adcb5a599b1f386e3cdabc548ef03d3cad44,research/v2/effect-core/**,https://github.com/mannyc2/nycustodianexam/pull/5,2026-08-21T21:00:00Z,Preliminary source analysis and candidate topology,BLOCKED run with no immutable launch fixture lockfile installed guidance or runtime proof
E01,official upstream source,Effect core package metadata,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/effect/package.json,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/package.json,2026-08-21T21:20:00Z,Version exports dependencies and stable versus unstable namespaces,Source existence is not runtime proof
E02,official upstream source,Effect Bun platform package metadata,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/platform/bun/package.json,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/platform/bun/package.json,2026-08-21T21:35:00Z,Coordinated package version and BunRuntime export,Exact registry artifact was not installed
E03,official upstream guidance,Services and v4 migration,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,ai-docs/src/01_effect/03_services/01_service.ts and migration/services.md,https://github.com/Effect-TS/effect/tree/436f10d1efccec308426532ff3f88df9a96434f3,2026-08-21T21:47:00Z,Context.Service named Effect.fn explicit Layers removed v3 accessors and Reference syntax,Guidance source inspected instead of generated installed AGENTS.md
E04,official upstream guidance,ManagedRuntime BunRuntime Layer.launch and resources,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,ai-docs/src/{04_integration/10_managed-runtime.ts;01_effect/06_running/10_run-main.ts;01_effect/06_running/20_layer-launch.ts;01_effect/05_resources/10_acquire-release.ts},https://github.com/Effect-TS/effect/tree/436f10d1efccec308426532ff3f88df9a96434f3/ai-docs/src,2026-08-21T21:42:00Z,Runtime bridges process entry long-running Layer and scoped acquisition,Not executed locally
E05,official upstream source,Effect testing export,4.0.0-rc.111,436f10d1efccec308426532ff3f88df9a96434f3,packages/effect/src/testing/index.ts,https://github.com/Effect-TS/effect/blob/436f10d1efccec308426532ff3f88df9a96434f3/packages/effect/src/testing/index.ts,2026-08-21T21:43:00Z,Current TestClock/testing primitives exist,No local test execution
N01,official registry page,effect package versions,rc tag 4.0.0-rc.111,,effect registry metadata,https://www.npmjs.com/package/effect?activeTab=versions,2026-08-21T21:25:00Z,Published core RC coordinate,Archive could not be downloaded by runner
N02,official registry page,@effect/platform-bun package,recently published package,,@effect/platform-bun registry page,https://www.npmjs.com/package/@effect/platform-bun,2026-08-21T21:49:00Z,Package exists and has a recent publish,Exact RC artifact remains unobserved locally
B01,official Bun release,Bun v1.4.0 release,1.4.0,,bun-v1.4.0,https://github.com/oven-sh/bun/releases/tag/bun-v1.4.0,2026-08-21T21:25:00Z,Current Bun release and install coordinate,Binary could not be downloaded in runner
B02,official Bun source,Bun package metadata,1.4.0,c6462d00e3d30b7110664af898be4fc71be2c95c,package.json,https://github.com/oven-sh/bun/blob/c6462d00e3d30b7110664af898be4fc71be2c95c/package.json,2026-08-21T21:28:00Z,Bun source version coordinate,Source is not local runtime observation
