code,category,severity,release_blocking,definition,minimum_detection,required_disposition
HSP-TGT-MISSING,target,critical,yes,"An authored intended hazard is absent, visually unlocatable, or materially cropped/occluded in the final controlling view.","semantic-inventory overlay plus independent visual review at phone and print sizes","reject; repair scene; regenerate regions/descriptions; repeat all semantic QA"
HSP-TGT-AMBIG,target,critical,yes,"An intended target can reasonably be interpreted as safe, as a different condition, or as requiring specialist/text/color knowledge not supplied by the scene.","blind reviewer identifies condition from observable pixels and claim brief","reject or redesign; do not fix only by widening hotspot or explanation"
HSP-ACCIDENTAL-HAZARD,negative-inventory,critical,yes,"A non-target object/condition creates an additional plausible hazard not authored as target or decoy.","independent negative-hazard sweep across slip/egress/chemical/electrical/sharp/material/sanitation/machine classes","reject; repair pixels/geometry and re-review whole scene"
HSP-DECOY-UNSAFE,decoy,critical,yes,"An authored safe-but-suspicious decoy is actually unsafe or cannot be defended as safe exactly as depicted from source evidence.","decoy rationale/source review plus independent visual review","reject decoy or change scene; never explain away unsafe art"
HSP-GEOM-IMPOSSIBLE,geometry,critical,yes,"Object/body/fixture/contact geometry is mechanically or physically impossible in a way that affects recognition or safety meaning.","geometry/pose review; compare source block and final cleanup","repair source geometry; re-render; invalidate prior hotspots"
HSP-CUE-COLOR-TEXT,cueing,critical,yes,"Correctness depends on color, readable text, a tiny label, or another cue unavailable in grayscale/low-resolution/nonvisual use; or generation adds answer-bearing text/symbols.","grayscale/print/phone review plus text/logo sweep","redesign using shape/placement/observable condition; reject generated pseudo-text"
HSP-HOTSPOT-MISMATCH,interaction,critical,yes,"Authored target/decoy region does not cover the final visible semantic condition or covers unrelated safe content.","post-render region overlay review at canonical and phone sizes","regenerate/re-author region; create new scene interaction revision"
HSP-HOTSPOT-OVERLAP,interaction,critical,yes,"Tolerance-expanded regions allow one learner mark to map ambiguously to multiple target/decoy meanings.","automated expanded-region intersection test plus visual review","separate scene targets or shrink/redesign regions; do not rely on arbitrary match order"
HSP-TGT-SEPARATION,composition,critical,yes,"Distinct intended targets are too close/occluded for stable one-to-one marking and post-answer explanation.","region separation metric plus blind marker exercise","recompose scene"
HSP-CORRECTION-DEPICTED,semantic,critical,yes,"The scene already shows the intended control/correction applied so the target no longer represents the claimed unsafe condition.","claim-vs-final-scene review","reject or change semantic condition; re-source if meaning changes"
HSP-ANSWER-LEAK,security,critical,yes,"Pre-commit visual, filename, SVG metadata/IDs, accessible text, DOM data, overlay, manifest exposure, or styling reveals target identity/count/correctness.","pre-submit rendered DOM/accessibility/security audit plus asset-metadata scan","block publication; strip leak; retest cached/offline/print paths"
HSP-ZONE-ORDER,accessibility,critical,yes,"Visual annotation numbering, neutral/full descriptions, nonvisual equivalent, or print key use inconsistent/illogical zone order.","cross-artifact ordered-ID comparison and screen-reader review","repair authored zone order and regenerate dependent artifacts"
HSP-DESC-LEAK,accessibility,critical,yes,"Neutral pre-answer description names/interprets a hazard/decoy, implies correctness, or reveals target count.","independent accessibility editor compares neutral text to semantic inventory without key","rewrite neutral text; retest all pre-commit surfaces"
HSP-DESC-DIVERGENCE,accessibility,critical,yes,"Description states an object/condition not actually visible, omits a material observable fact available visually, or disagrees with final scene meaning.","final-pixel-to-description audit","repair description or scene; if semantics change create new version"
HSP-NONVISUAL-NONEQUIV,accessibility,major,yes,"Nonvisual task tests a different principle or leaks interpretation rather than presenting equivalent observable zone facts.","concept-tag/source/zone comparison and screen-reader task review","rewrite equivalent; report visual/nonvisual results separately"
HSP-PHONE-FAIL,delivery,major,yes,"Target/decoy or decisive distinguishing detail is not readable/markable at supported small-phone layout even with provided zoom/pan controls.","small-phone viewport test at documented zoom path","recompose or supply higher-resolution derivative; do not add answer cue"
HSP-PRINT-FAIL,delivery,major,yes,"Target/decoy or key annotation fails grayscale/low-ink print legibility or worksheet/key separation.","grayscale print-preview and representative physical/PDF check","repair line weight/composition/derivative and re-review"
HSP-RIGHTS-PROVENANCE,rights,critical,yes,"Any scene/component/input lacks project-owned or independently cleared provenance, or prohibited official/third-party art influenced the asset.","rights ledger check against every source/component/model/input hash","reject until rights/provenance is resolved; substitution requires new review"
HSP-MANIFEST-NONDET,reproducibility,major,yes,"Accepted asset cannot identify all semantic/source/tool/component inputs and output hashes or deterministic route rebuild drifts without explanation.","manifest completeness check; repeated build for deterministic routes","block promotion; pin inputs/tooling; preserve accepted output bytes"
HSP-VARIANT-LEAK,learning,major,yes,"Changed-scene variants repeat location/template cues strongly enough that position/camera/decoy pattern can substitute for concept recognition.","family-level centroid/zone/camera distribution review and blind learner/editor check","recompose family or add structurally different variants"
HSP-GEN-INVENTORY,generative,critical,yes,"Generated derivative adds/removes/duplicates/merges/splits a semantic object or changes target/decoy identity.","control-vs-output instance inventory + independent review","reject derivative; do not repair through explanation"
HSP-GEN-STRUCTURE,generative,critical,yes,"Generated derivative violates silhouette/keypoint/contact/occlusion/depth rejection gates in GENERATIVE-BOUNDARY.md.","automated structural comparison plus independent review","reject derivative; deterministic fallback remains available"
HSP-SOURCE-UNSUPPORTED,content,critical,yes,"Depicted hazard/decoy/correction makes a substantive safety claim not supported by registered source lines for this item.","claim registry/source-line review","remove/change claim or obtain adequate source; do not infer from image-generation priors"
HSP-SCOPE-LEAK,content,critical,yes,"Scene introduces high-level/specialist or otherwise unapproved content into an entry-level scored item.","taxonomy/series compatibility validation","retire/reclassify scene or remove unsupported element"
