capability,runtime,option_a_native,option_b_project_service,option_c_effect,selected_package_or_module,stability,source_coordinate,semantics,cancellation_truth,resource_ownership,portability_value,testability,bundle_cost_hypothesis,project_need,recommendation,evidence_status,adoption_status
HTTP client,browser page,fetch directly,ContentPackDownloader or CorrectionClient around fetch/Effect,BrowserHttpClient + effect/unstable/http HttpClient,@effect/platform-browser/BrowserHttpClient plus effect/unstable/http when typed protocol is useful,browser module public; HTTP namespace unstable,Effect 4.0.0-rc.111 @ 993f4be,"typed transport/status/body failures, middleware, Schema decode, retries and tracing",Effect interruption invokes AbortController.abort; remote/server or already-completed work may continue,one browser runtime root; request fibers scoped to calling feature,"high for typed client protocol, low for pretending all fetch implementations are identical",high with service substitution; real browser still required,meaningful; measure per interactive entry before adoption,content-pack downloads and optional correction submit,Use behind cohesive project clients where typed policy matters; keep trivial one-off static fetches native,CONFIRMED; Effect execution BLOCKED; native abort OBSERVED,PROVISIONAL
Request/Response/Headers/URL,browser/service worker/workerd,Web platform values,none unless enforcing a product protocol,effect/unstable/http models at an HTTP boundary,native Web APIs,Web standards stable; Effect HTTP unstable,Web APIs; Effect 4.0.0-rc.111,deterministic value construction and host boundary types,not independently cancellable,caller/host,native shapes already span browser and workerd,construct directly in tests,zero wrapper cost,pervasive,Do not create services that merely rename these values,CONFIRMED+OBSERVED,RECOMMENDED
crypto/hash/random,browser page/service worker,crypto.getRandomValues/randomUUID/subtle.digest,ContentIntegrity or IdGenerator with domain policy,effect/Crypto with @effect/platform-browser/BrowserCrypto,BrowserCrypto for injectable digest/random capability; native for simple boundary values,public v4 modules,effect/Crypto and platform-browser/BrowserCrypto @ 993f4be,"secure random bytes, UUIDs and SHA digests with typed platform errors",digest is promise-backed and may not stop underlying native work after interruption,global Web Crypto provider; service layer owns policy only,useful across Bun/browser when algorithms align,high through Crypto service; security tests must retain real provider coverage,small-to-moderate if service already used,content checksums and non-security identifiers,Use a meaningful integrity capability for pack verification; do not wrap every randomUUID call,CONFIRMED; native operation OBSERVED,PROVISIONAL
Blob/File,browser page/service worker/workerd,Blob and File,content-object decoder only if validation/failure policy is needed,no dedicated abstraction required,native Blob/File,stable Web APIs,Web platform,immutable byte containers and file metadata,construction is synchronous; reads may be promise/stream based,caller,high as native Web values,construct directly,none,"content assets, uploads only if correction attachments are later added",Use directly,OBSERVED,RECOMMENDED
readable/writable streams,browser/service worker/workerd,ReadableStream/WritableStream/TransformStream,only for a product pipeline with typed failures or resource policy,BrowserStream and Effect Stream conversions; Effect HTTP response streaming,native at runtime edges; convert to Effect Stream inside effectful pipelines,Web stable; HTTP bridge unstable,platform-browser/BrowserStream; effect/unstable/http @ 993f4be,backpressure and streaming ownership,stream cancel/abort is cooperative; provider work may continue,response/event scope owns live stream,"shape portable, lifecycle details runtime-specific",native synthetic streams plus runtime integration tests,conversion adds code; measure only if used,pack downloads and Worker responses,Keep native boundary; convert only where Effect pipeline semantics pay for it,CONFIRMED+OBSERVED,RECOMMENDED
compression,browser page/service worker,CompressionStream/DecompressionStream,ContentCompression for format/support fallback,no browser-specific mandatory abstraction,native CompressionStream/DecompressionStream,modern Web API; support-gated,Web platform,streaming gzip/deflate transforms,stream cancellation is cooperative,pipeline owner,Web shape useful but support and formats vary,feature-detect and real-browser test,zero when supported; fallback library can be expensive,optional downloaded pack compression,Prefer native with explicit capability check; add fallback only after measured need,OBSERVED in Chromium 144,PROVISIONAL
WebSocket,browser page,WebSocket,typed realtime transport if a real feature appears,BrowserSocket + effect/unstable/socket,none now,native stable; Effect socket unstable,platform-browser/BrowserSocket @ 993f4be,long-lived duplex connection and close lifecycle,"interruption can close client resource, but network/server delivery is not transactional",scoped connection,limited because server upgrade semantics differ,requires real browser/server integration,avoid entirely until needed,none,Do not adopt,CONFIRMED presence,NOT ADOPTED
dedicated Web Workers,browser page,Worker/message events,bounded computation worker protocol,BrowserWorker/BrowserWorkerRunner + effect/unstable/workers,native Worker for simple deterministic tasks,native stable; Effect workers unstable,platform-browser BrowserWorker* @ 993f4be,separate thread/process message lifecycle,terminate stops worker; in-flight external effects may not roll back,feature scope owns worker,low across browser/Bun/workerd despite shared name,real Worker integration plus pure protocol tests,separate bundle and Effect worker protocol can be material,"possible simulations/illustration processing, not current baseline",Start native and small; adopt Effect worker protocol only for structured RPC/lifecycle value,CONFIRMED; native Worker OBSERVED,DEFERRED
browser IndexedDB,browser page,IDBFactory/transactions directly,ProgressStore/ContentStore with product transactions,"IndexedDb, IndexedDbTable, IndexedDbVersion, IndexedDbDatabase, IndexedDbQueryBuilder",first-party @effect/platform-browser IndexedDb* behind project stores,public stable path; internal unstable Reactivity dependency,platform-browser IndexedDb*.ts @ 993f4be,"typed schemas, migrations, indexes, shared transactions and tagged errors",interruption attempts transaction.abort while active; cannot undo a transaction that already committed,one opened database service per browser runtime; transaction scopes remain explicit,"provider-specific; project store contracts may be portable, transaction semantics are not",unit with fake provider plus real Chromium migration/interruption tests,non-trivial; measure against native/idb alternatives,critical durable commit-before-reveal and offline packs,"Preferred provider spike, not production-approved until exact package/browser probes pass",CONFIRMED; native commit/abort OBSERVED; Effect execution BLOCKED,PROVISIONAL
browser persistence/key-value,browser page,localStorage or simple IndexedDB,SettingsStore,BrowserKeyValueStore/IndexedDbKeyValueStore + unstable persistence,simple project SettingsStore; provider chosen by durability need,browser modules public; generic persistence unstable,platform-browser @ 993f4be,simple key/value reads and writes without full relational transaction model,localStorage synchronous; IndexedDB provider follows transaction truth,browser storage origin,moderate for settings only,high behind SettingsStore,avoid persistence stack for tiny settings if native suffices,settings only,"Do not use generic KV for attempts, progress, sessions, packs or review queues",CONFIRMED,PROVISIONAL
