question_id,question,status,why_open,resolution_probe,owner,blocks
Q01,Does the prepared Effect Schema boundary compile and decode at effect 4.0.0-rc.111 under Bun?,BLOCKED,Effect and Bun could not be installed.,Run bun install from the committed manifest/lock; read node_modules/effect/AGENTS.md; bun typecheck and decode valid/invalid fixtures.,R2.2 rerun / implementation,Effect-runtime proof only
Q02,Do direct DOM and lit-html have parity on a native origin with real IndexedDB?,BLOCKED,Managed Chromium blocks all navigation and about:blank denies IndexedDB.,"Serve fixture on localhost in an unrestricted runner; run success, rejection, unknown-outcome, reload, focus, live-region and disposal tests in Chromium/Firefox/WebKit.",R2.4 + R2.8,Final renderer choice
Q03,What is each matched Vite production bundle closure?,BLOCKED,"No Bun, node_modules, Vite build or bun.lock.",bun install; bun run build; run scripts/measure-vite.mjs; preserve manifest and raw/gzip/brotli numbers with source maps disabled.,R2.5,Final renderer choice and numeric budgets
Q04,"Does the actual lit-html arm preserve focus, keyed identity, restoration and no-leak behavior?",BLOCKED,Adapter source exists but lit-html was unavailable.,Execute lit.html through the same browser sequence and mutation/leak scans; include repeated mount/unmount and keyed reorder cases.,R2.2 rerun / R2.8,Final renderer choice
Q05,What are the exact IndexedDB interruption and unknown-outcome semantics for the repository service?,OPEN,An interrupted JavaScript wrapper may not cancel an already-started browser transaction.,Instrument transaction request/complete/abort events under Effect interruption and navigation; verify idempotent read-back behavior.,R2.4,Persistence adapter contract
Q06,Does the product need Atom at all after the renderer spike?,OPEN,No demonstrated multi-consumer reactive query need exists yet.,Implement controller subscription without Atom first; add isolated Atom adapter only when two independent consumers or query invalidation need appears; compare code/bundle/leaks.,Architecture synthesis / implementation,Atom adoption
Q07,How should cross-tab screen/progress refresh be propagated?,OPEN,This lane did not own storage or cross-tab authority.,"R2.4 compares BroadcastChannel, storage events, service worker messaging, and IndexedDB version/record checks with one durable authority.",R2.4,"Cross-tab UX, not renderer selection"
Q08,What numeric migration thresholds should be binding?,OPEN,Local trigger counts are provisional until R2.5 and R2.8 evidence is available.,"Reconcile branch complexity, leak/focus defects, interaction latency and bundle closure into reviewed thresholds.",R2.5 + R2.8 + R2.90,Renderer adoption policy
Q09,Can the missing E01/E03 raw reports be recovered exactly?,BLOCKED,The immutable source tree contains the index but not the blobs.,Recover original user-visible artifacts from durable chat/library provenance and publish without reconstruction.,Corpus maintainer,Historical provenance only; not current-v4 authority
Q10,Will the selected RC APIs or package layout change before Effect v4 final?,OPEN,effect/unstable/reactivity is explicitly unstable and the selected v4 coordinate is an RC.,"Pin every update; run compile contract tests, source diff, browser fixture, and bundle closure before adoption/upgrades.",Dependency owner,Production adoption of unstable adapters
Q11,Does a hazard-player extension cross the direct/lit migration triggers?,OPEN,"Question-player evidence alone does not cover keyed SVG markers, viewport transforms and nonvisual equivalents.","Implement identical renderer-neutral hazard commands through direct and lit arms; measure keyed updates, focus, gesture locality, accessibility and bundle delta.",R2.9 + implementation,Final interactive renderer choice
Q12,Does service-worker/offline packaging leak answer-bearing data before commitment?,OPEN,The research grading endpoint intentionally keeps the key outside public files and is not the offline product design.,"Audit content-pack split, cache entries, filenames, manifests, source maps, SVG/GLB metadata and accessibility tree before/after commit.",R2.3 + R2.4 + content architecture,Offline answer security
